Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	TRS+LOP	4	10	1	B4	TRS+LOP.A.4.10.1.B4
48	Human	A	TRS+LOP	4	11	1	B5	TRS+LOP.A.4.11.1.B5
48	Human	A	TRS+LOP	4	12	1	B6	TRS+LOP.A.4.12.1.B6
