Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SOR+URS	CTDNEP1	0.926097662901184	4.67042916122875	0.00595232186984648	0.0331025083051164
A	1	CTRL	SOR+URS	CTGF	0.503208377859134	9.86022996230642	2.58772389145047e-06	3.58631638784371e-05
A	1	CTRL	SOR+URS	CTNNB1	-0.830063860039601	6.71420501383202	0.000257067469789726	0.00227154480235424
A	1	CTRL	SOR+URS	CTR9	0.70554514656052	4.89462680837952	0.0108021693310391	0.0542975196105193
A	1	CTRL	SOR+URS	CTSK	-1.9219533235068	6.28941142908721	9.89536265371936e-12	3.05005883305326e-10
A	1	CTRL	SOR+URS	CUEDC2	-1.24285243705095	4.15914838418451	0.0050288983483464	0.028933527511085
A	1	CTRL	SOR+URS	CUL3	1.23532345877192	4.72148654218844	1.8050599729188e-05	0.000211572455480501
A	1	CTRL	SOR+URS	CUTA	-0.952080517766708	8.58126259666933	3.04348160375294e-11	8.91821997297023e-10
A	1	CTRL	SOR+URS	CUTC	-1.04335244268996	5.10517850797367	0.00648105279273834	0.0355288921762992
A	1	CTRL	SOR+URS	CWC15	-0.733011704122124	6.96365008537628	0.0003847009935119	0.00321461463184592
A	1	CTRL	SOR+URS	CWC22	0.82546058229623	5.44581287393856	0.000624878122200074	0.00488721255477724
A	1	CTRL	SOR+URS	CX3CL1	-2.45504958791232	3.10288945406391	0.00427625361982878	0.0253223192376721
A	1	CTRL	SOR+URS	CXADR	0.951778779027536	4.30314350754332	0.0071983870995342	0.0387941117541495
A	1	CTRL	SOR+URS	CXCL1	4.04024198536011	1.62601203951483	1.46034708845141e-07	2.52117253619175e-06
A	1	CTRL	SOR+URS	CXCL3	3.97653151773913	1.49421518921392	2.46658965461874e-05	0.000279164243392117
A	1	CTRL	SOR+URS	CXCR7	0.827405426480724	5.01138688179354	0.00283234692139966	0.0179253956008582
A	1	CTRL	SOR+URS	CXorf23	1.00431622184792	3.56241315270928	0.0231907402994711	0.0984204377624334
A	1	CTRL	SOR+URS	CYB5A	-0.718275119610314	5.91365890001938	0.00540185935458013	0.0306543204103377
A	1	CTRL	SOR+URS	CYB5B	-0.939802179277146	6.50032882222941	0.00010319424910907	0.00101022145438684
A	1	CTRL	SOR+URS	CYB5R1	-1.16850840568008	4.76409340692764	0.00858240409118828	0.0449012966644274
A	1	CTRL	SOR+URS	CYBA	-1.60359906136337	5.38653254285881	1.43763600586527e-05	0.000170694497760525
A	1	CTRL	SOR+URS	CYCS	-1.45741327935242	8.05494249676073	3.63381183052329e-17	2.3053537287917e-15
A	1	CTRL	SOR+URS	CYGB	2.11969248805629	1.8267604176352	0.00967169973849104	0.0495499941264683
A	1	CTRL	SOR+URS	CYP20A1	-0.506260110392963	6.61656744152422	0.0167564837064462	0.0767579690008921
A	1	CTRL	SOR+URS	CYP2B7P1	1.77469713855361	2.44125984796391	0.00314696523419302	0.0196219888576663
A	1	CTRL	SOR+URS	CYR61	0.542451294264931	7.53321794068279	0.000287412557208091	0.00250914810297431
A	1	CTRL	SOR+URS	CYSTM1	-0.78869658460872	7.62254287780781	1.1429296595348e-05	0.000139597642247292
A	1	CTRL	SOR+URS	CYTH2	1.44188753994133	4.12362824741306	4.53776267715177e-05	0.00047864423266906
A	1	CTRL	SOR+URS	CYTH3	1.32824653839652	3.19418164641856	0.00681490731047215	0.0370328580626031
A	1	CTRL	SOR+URS	DAB2	-0.336533770817063	8.2888594409509	0.0215379142677486	0.0926527325757755
A	1	CTRL	SOR+URS	DAD1	-1.11400292791368	9.96378235435547	8.21848129579886e-20	7.51100224159408e-18
A	1	CTRL	SOR+URS	DANCR	-1.15251785912398	6.20457281375044	5.57981491599503e-06	7.15629059245721e-05
A	1	CTRL	SOR+URS	DAP3	-0.626714731479677	6.55624414536904	0.00547227041202482	0.0310000442196586
A	1	CTRL	SOR+URS	DARS	-0.741751194736602	6.57412072076161	0.000645070052679909	0.00503308687670074
A	1	CTRL	SOR+URS	DAZAP1	1.16131585014598	3.53846311033366	0.00778071763857185	0.0414876372168485
A	1	CTRL	SOR+URS	DAZAP2	-1.66644052466644	7.89898601184903	7.34481746656662e-20	6.85638710503994e-18
A	1	CTRL	SOR+URS	DBI	-0.77109977210967	8.20625921902078	7.98120744632156e-07	1.21005104542896e-05
A	1	CTRL	SOR+URS	DBNL	0.863687736573035	4.75514082438868	0.00349524386211193	0.0214255825675145
A	1	CTRL	SOR+URS	DBT	0.748009496136539	4.78388947849971	0.0132455807552092	0.0635502412455739
A	1	CTRL	SOR+URS	DCAF13	-1.14514196264836	6.56608019140706	1.5730399421641e-06	2.27160872973952e-05
A	1	CTRL	SOR+URS	DCLK2	1.83433496693871	2.18424149390301	0.0202612033194383	0.088856934960315
A	1	CTRL	SOR+URS	DCN	-1.03482345363047	9.47744811523295	1.34101183776367e-15	6.81933218199741e-14
A	1	CTRL	SOR+URS	DCTN3	-1.34066685468812	5.6890708038781	5.26229761330165e-05	0.000548866460560569
A	1	CTRL	SOR+URS	DCTN6	-0.932681705414238	7.18248131857041	1.21200884807865e-06	1.79182620311537e-05
A	1	CTRL	SOR+URS	DCUN1D1	-0.91143829991297	5.58140400235292	0.00371231632939051	0.0225133466862202
A	1	CTRL	SOR+URS	DDHD2	1.02787057991498	3.94277682389786	0.0134829307101766	0.0644979580714856
A	1	CTRL	SOR+URS	DDIT3	0.437945900488613	7.84501600519867	0.001193465242703	0.00854183858536997
A	1	CTRL	SOR+URS	DDIT4	-1.5662125608655	4.80183019448104	0.00189713952059066	0.0127212500741915
A	1	CTRL	SOR+URS	DDOST	-1.35608247827263	8.11235838396257	2.20394860382896e-15	1.08283474824965e-13
A	1	CTRL	SOR+URS	DDX17	0.662675807505941	6.55460003044663	0.000179723602342126	0.00166464050957424
A	1	CTRL	SOR+URS	DDX18	-0.676338666080524	6.90874709751296	0.000920997333793703	0.00681955476223791
A	1	CTRL	SOR+URS	DDX3X	-0.883404042849415	6.65526202009202	8.01418335254481e-05	0.000805052745844798
A	1	CTRL	SOR+URS	DDX42	0.788350089006064	5.35440515335844	0.00135488783040675	0.00951990809440098
A	1	CTRL	SOR+URS	DDX47	-0.645761846616392	6.7008634356546	0.00246395637106225	0.0158940996117534
A	1	CTRL	SOR+URS	DDX5	-0.665582491698075	9.09427310339657	2.72768195186578e-07	4.51813376792572e-06
A	1	CTRL	SOR+URS	DDX55	1.20863829586279	3.96385447751278	0.00308014833291562	0.0192789552504187
A	1	CTRL	SOR+URS	DDX6	-1.3460764511152	6.31612191568769	1.54470964811613e-06	2.23811645135585e-05
A	1	CTRL	SOR+URS	DECR1	-1.29018173488765	6.70891542365721	6.20461580595755e-08	1.12622394400082e-06
A	1	CTRL	SOR+URS	DEDD2	2.30789289202319	3.09162237573044	1.80522660064744e-07	3.05602415075925e-06
A	1	CTRL	SOR+URS	DEK	0.765116155371202	5.82878190075343	0.000473069374215793	0.00382820040348371
A	1	CTRL	SOR+URS	DENND4C	1.11061522659187	3.84949692404572	0.00260649683285767	0.0167145765989288
A	1	CTRL	SOR+URS	DERA	-1.05116898438721	5.18628376610407	0.00459449149331188	0.0268059863062915
A	1	CTRL	SOR+URS	DERL2	-0.79070091649632	7.19688113648315	9.86208928616218e-05	0.000969080036698147
A	1	CTRL	SOR+URS	DESI1	1.12030728830568	4.72105852998942	0.000110411975793288	0.00107444088729894
A	1	CTRL	SOR+URS	DFFB	1.17403996032173	3.37817351163406	0.0127370275337496	0.0617255367220262
A	1	CTRL	SOR+URS	DGKE	1.2801177569461	3.44913023847133	0.00411599063627343	0.0246187101260675
A	1	CTRL	SOR+URS	DGKH	2.51705235254848	1.5510473792655	0.0117346045273672	0.0578715270068536
A	1	CTRL	SOR+URS	DGUOK	-1.22889661894245	8.0732257702567	2.38553085093613e-13	9.01054991066019e-12
A	1	CTRL	SOR+URS	DHRS1	-1.64800251307824	4.51424640556423	0.00141320609174786	0.00990305115981383
A	1	CTRL	SOR+URS	DHRS3	-1.23890915371847	6.82649079900786	8.56291706909971e-08	1.52049949967478e-06
A	1	CTRL	SOR+URS	DHRS7	-1.64208127390908	6.0489388341133	1.79071255987626e-07	3.03932759026271e-06
A	1	CTRL	SOR+URS	DHRS7B	-0.894065485739389	5.49555333097045	0.00493378339882993	0.0284678212977079
A	1	CTRL	SOR+URS	DHX36	1.59575099091367	4.85846846832941	7.26990959832102e-10	1.76928209572546e-08
A	1	CTRL	SOR+URS	DHX57	-5.53192161499993	2.84258897354901	0.00232652718912946	0.0151647799674478
A	1	CTRL	SOR+URS	DIAPH1	1.10156139751932	3.78855493794078	0.00573491615657557	0.0321396308963491
A	1	CTRL	SOR+URS	DIP2A	1.34533105962958	3.98997931681897	0.000176512905967407	0.00163675474071443
A	1	CTRL	SOR+URS	DISP1	-5.01151020631259	2.48215268899639	0.0115872791663581	0.0573486728060892
A	1	CTRL	SOR+URS	DKK1	0.71448899428307	4.99077269000653	0.0141893404942096	0.0672616942034189
A	1	CTRL	SOR+URS	DLC1	0.798307482152714	5.74136818604084	0.000760819044130005	0.00578089772542734
A	1	CTRL	SOR+URS	DLD	-1.50727696477481	6.50012302081131	9.63747512438736e-09	2.00560768153851e-07
A	1	CTRL	SOR+URS	DLX2	2.64184290877899	1.38293491698436	0.0193771805395347	0.085815104192199
A	1	CTRL	SOR+URS	DLX6-AS1	2.19166814583364	1.78003807387352	0.0212991491209899	0.0921097861195236
A	1	CTRL	SOR+URS	DMC1	1.03631590342962	4.37997532599517	0.00482890379149476	0.0279986440332941
A	1	CTRL	SOR+URS	DMD	0.869575218234558	5.22663385261225	0.000678359232256403	0.0052365486156875
A	1	CTRL	SOR+URS	DNAJA1	0.487701346516945	8.0228976329235	0.000437123737506386	0.00357718855696365
A	1	CTRL	SOR+URS	DNAJB1	4.32894147373016	6.73563838921535	2.32047931736554e-211	1.51631720993251e-207
