Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	SUN+URS	6	19	1	D9	SUN+URS.A.6.19.1.D9
48	Human	A	SUN+URS	6	20	1	D10	SUN+URS.A.6.20.1.D10
48	Human	A	SUN+URS	6	21	1	D11	SUN+URS.A.6.21.1.D11
