Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	TRS+DOM	4	15	1	B9	TRS+DOM.A.4.15.1.B9
48	Human	A	TRS+DOM	4	16	1	B10	TRS+DOM.A.4.16.1.B10
48	Human	A	TRS+DOM	5	12	1	C8	TRS+DOM.A.5.12.1.C8
