Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	ALE.A.7.17.1.F7.Norm	ALE.A.7.18.1.F8.Norm	ALE.A.8.13.1.G10.Norm
ABCA9	56	39	46	45	25	54	25	61	56	74	37	28	74	27	25	44	37.9981397182377	28.8378349975542	32.8203718650869	35.8976141222343	23.790662066404	38.6015333984407	38.4490754129429	45.4366051952367	46.2304653728296	39.0864193092941	33.0069982676135	25.7672889065537	51.2344538288413	33.4809389447185	33.7272463592763	32.7533100111544
ABCB10	11	14	3	9	5	2	3	5	9	9	10	1	6	2	7	6	7.4639203017967	10.3520433324554	2.14045903467958	7.17952282444686	4.75813241328081	1.42968642216447	4.61388904955314	3.72431190124891	7.42989622063333	4.75375369977902	8.92081034259825	0.920260318091203	4.15414490504119	2.48006955146063	9.44362898059736	4.46636045606651
ABCB5	4	14	4	1	5	8	5	9	8	13	3	6	6	4	5	5	2.71415283701698	10.3520433324554	2.85394537957277	0.797724758271873	4.75813241328081	5.71874568865788	7.68981508258857	6.70376142224804	6.60435219611851	6.86653312190302	2.67624310277948	5.52156190854722	4.15414490504119	4.96013910292126	6.74544927185526	3.72196704672209
ABCB6	15	13	18	19	8	16	6	13	13	17	18	13	18	6	3	18	10.1780731388137	9.6126116658514	12.8427542080775	15.1567704071656	7.61301186124929	11.4374913773158	9.22777809910629	9.68321094324717	10.7320723186926	8.97931254402703	16.0574586166769	11.9633841351856	12.4624347151236	7.44020865438188	4.04726956311315	13.3990813681995
ABCB7	16	21	21	14	21	22	9	19	13	22	14	16	19	8	7	23	10.8566113480679	15.528064998683	14.9832132427571	11.1681466158062	19.9841561357794	15.7265506438092	13.8416671486594	14.1523852247459	10.7320723186926	11.620286821682	12.4891344796376	14.7241650894593	13.1547921992971	9.92027820584251	9.44362898059736	17.1210484149216
ABCB8	6	5	3	2	1	1	0	3	5	4	1	3	3	1	1	3	4.07122925552547	3.69715833301977	2.14045903467958	1.59544951654375	0.951626482656161	0.714843211082234	0	2.23458714074935	4.12772012257407	2.11277942212401	0.892081034259825	2.76078095427361	2.07707245252059	1.24003477573031	1.34908985437105	2.23318022803325
ABCC1	21	21	19	29	12	18	14	18	28	30	27	13	19	16	4	24	14.2493023943392	15.528064998683	13.5562405529707	23.1340179898843	11.4195177918739	12.8671777994802	21.531482231248	13.4075228444961	23.1152326864148	15.8458456659301	24.0861879250153	11.9633841351856	13.1547921992971	19.840556411685	5.3963594174842	17.865441824266
ABCC10	4	4	2	8	4	6	5	5	7	7	3	3	3	3	5	11	2.71415283701698	2.95772666641581	1.42697268978639	6.38179806617498	3.80650593062464	4.28905926649341	7.68981508258857	3.72431190124891	5.7788081716037	3.69736398871701	2.67624310277948	2.76078095427361	2.07707245252059	3.72010432719094	6.74544927185526	8.18832750278859
ABCC13	0	3	0	2	1	1	0	1	0	2	1	1	0	1	1	0	0	2.21829499981186	0	1.59544951654375	0.951626482656161	0.714843211082234	0	0.744862380249782	0	1.056389711062	0.892081034259825	0.920260318091203	0	1.24003477573031	1.34908985437105	0
ABCC3	3	3	4	5	2	1	0	4	1	4	3	4	4	0	3	1	2.03561462776274	2.21829499981186	2.85394537957277	3.98862379135937	1.90325296531232	0.714843211082234	0	2.97944952099913	0.825544024514814	2.11277942212401	2.67624310277948	3.68104127236481	2.76942993669413	0	4.04726956311315	0.744393409344418
ABCC4	12	6	9	7	4	8	2	16	10	12	5	7	9	8	3	6	8.14245851105094	4.43658999962372	6.42137710403874	5.58407330790311	3.80650593062464	5.71874568865788	3.07592603303543	11.9177980839965	8.25544024514814	6.33833826637202	4.46040517129913	6.44182222663842	6.23121735756178	9.92027820584251	4.04726956311315	4.46636045606651
ABCC5	7	8	11	8	11	12	5	13	11	19	8	12	24	3	11	16	4.74976746477972	5.91545333283163	7.84834979382512	6.38179806617498	10.4678913092178	8.57811853298681	7.68981508258857	9.68321094324717	9.08098426966295	10.035702255089	7.1366482740786	11.0431238170944	16.6165796201648	3.72010432719094	14.8399883980816	11.9102945495107
ABCC9	2	3	1	2	1	1	0	3	1	1	1	0	2	3	1	1	1.35707641850849	2.21829499981186	0.713486344893193	1.59544951654375	0.951626482656161	0.714843211082234	0	2.23458714074935	0.825544024514814	0.528194855531002	0.892081034259825	0	1.38471496834706	3.72010432719094	1.34908985437105	0.744393409344418
ABCD3	37	35	40	29	27	25	16	33	28	57	26	32	25	14	15	26	25.1059137424071	25.8801083311384	28.5394537957277	23.1340179898843	25.6939150317164	17.8710802770559	24.6074082642834	24.5804585482428	23.1152326864148	30.1071067652671	23.1941068907555	29.4483301789185	17.3089371043383	17.3604868602244	20.2363478155658	19.3542286429549
ABCD4	11	16	11	19	9	16	3	13	15	26	6	12	15	7	7	23	7.4639203017967	11.8309066656633	7.84834979382512	15.1567704071656	8.56463834390545	11.4374913773158	4.61388904955314	9.68321094324717	12.3831603677222	13.733066243806	5.35248620555895	11.0431238170944	10.385362262603	8.6802434301122	9.44362898059736	17.1210484149216
ABCE1	98	85	90	90	88	108	41	89	90	110	65	76	109	46	52	79	66.496744506916	62.8516916613361	64.2137710403874	71.7952282444686	83.7431304737422	77.2030667968813	63.0564836772263	66.2927518422306	74.2989622063333	58.1014341084102	57.9852672268886	69.9397841749315	75.4669657749149	57.0415996835944	70.1526724272947	58.807079338209
ABCF1	131	117	119	87	77	117	45	121	115	190	95	92	117	63	61	88	88.8885054123061	86.5135049926626	84.9048750422899	69.402053969653	73.2752391645244	83.6366556966214	69.2083357432972	90.1283480102237	94.9375628192036	100.35702255089	84.7476982546834	84.6639492643907	81.0058256483032	78.1221908710098	82.2944811166341	65.5066200223088
ABCF2	47	38	51	48	55	56	26	70	45	85	31	43	56	33	35	45	31.8912958349495	28.0984033309502	36.3878035895528	38.2907883970499	52.3394565460889	40.0312198206051	39.9870384294606	52.1403666174848	37.1494811031666	44.8965627201351	27.6545120620546	39.5711936779217	38.7720191137178	40.9211475991004	47.2181449029868	33.4977034204988
ABCF3	18	20	11	8	12	10	5	11	15	20	22	7	25	10	12	23	12.2136877665764	14.7886333320791	7.84834979382512	6.38179806617498	11.4195177918739	7.14843211082234	7.68981508258857	8.19348618274761	12.3831603677222	10.56389711062	19.6257827537162	6.44182222663842	17.3089371043383	12.4003477573031	16.1890782524526	17.1210484149216
ABCG1	1	1	2	1	3	7	3	4	5	5	0	3	4	3	3	5	0.678538209254245	0.739431666603954	1.42697268978639	0.797724758271873	2.85487944796848	5.00390247757564	4.61388904955314	2.97944952099913	4.12772012257407	2.64097427765501	0	2.76078095427361	2.76942993669413	3.72010432719094	4.04726956311315	3.72196704672209
ABCG2	0	0	1	0	2	0	0	0	0	2	0	0	1	1	0	2	0	0	0.713486344893193	0	1.90325296531232	0	0	0	0	1.056389711062	0	0	0.692357484173531	1.24003477573031	0	1.48878681868884
ABHD10	27	28	23	15	16	27	6	26	12	26	17	13	19	10	8	21	18.3205316498646	20.7040866649107	16.4101859325434	11.9658713740781	15.2260237224986	19.3007666992203	9.22777809910629	19.3664218864943	9.90652829417777	13.733066243806	15.165377582417	11.9633841351856	13.1547921992971	12.4003477573031	10.7927188349684	15.6322615962328
ABHD11	3	6	9	4	5	4	2	7	9	12	5	4	12	6	3	5	2.03561462776274	4.43658999962372	6.42137710403874	3.19089903308749	4.75813241328081	2.85937284432894	3.07592603303543	5.21403666174848	7.42989622063333	6.33833826637202	4.46040517129913	3.68104127236481	8.30828981008238	7.44020865438188	4.04726956311315	3.72196704672209
ABHD12	9	1	6	2	6	5	1	3	7	3	8	4	7	3	6	4	6.10684388328821	0.739431666603954	4.28091806935916	1.59544951654375	5.70975889593697	3.57421605541117	1.53796301651771	2.23458714074935	5.7788081716037	1.58458456659301	7.1366482740786	3.68104127236481	4.84650238921472	3.72010432719094	8.09453912622631	2.97757363737767
ABHD13	30	15	35	23	18	30	16	25	24	25	19	16	28	13	10	20	20.3561462776274	11.0914749990593	24.9720220712618	18.3476694402531	17.1292766878109	21.445296332467	24.6074082642834	18.6215595062446	19.8130565883555	13.204871388275	16.9495396509367	14.7241650894593	19.3860095568589	16.1204520844941	13.4908985437105	14.8878681868884
ABHD14A	10	3	4	5	3	6	1	4	4	3	3	1	4	2	1	3	6.78538209254245	2.21829499981186	2.85394537957277	3.98862379135937	2.85487944796848	4.28905926649341	1.53796301651771	2.97944952099913	3.30217609805926	1.58458456659301	2.67624310277948	0.920260318091203	2.76942993669413	2.48006955146063	1.34908985437105	2.23318022803325
ABHD14B	11	14	13	16	10	20	6	10	15	21	7	6	15	8	8	11	7.4639203017967	10.3520433324554	9.27532248361151	12.76359613235	9.51626482656161	14.2968642216447	9.22777809910629	7.44862380249782	12.3831603677222	11.092091966151	6.24456723981878	5.52156190854722	10.385362262603	9.92027820584251	10.7927188349684	8.18832750278859
ABHD15	12	15	4	8	5	11	2	10	13	16	4	12	9	6	11	10	8.14245851105094	11.0914749990593	2.85394537957277	6.38179806617498	4.75813241328081	7.86327532190458	3.07592603303543	7.44862380249782	10.7320723186926	8.45111768849603	3.5683241370393	11.0431238170944	6.23121735756178	7.44020865438188	14.8399883980816	7.44393409344418
ABHD16A	4	9	6	13	9	13	4	12	9	18	5	5	16	10	7	15	2.71415283701698	6.65488499943558	4.28091806935916	10.3704218575343	8.56463834390545	9.29296174406905	6.15185206607086	8.93834856299739	7.42989622063333	9.50750739955803	4.46040517129913	4.60130159045602	11.0777197467765	12.4003477573031	9.44362898059736	11.1659011401663
ABHD17A	5	3	6	6	5	11	4	9	4	12	7	5	8	4	4	9	3.39269104627123	2.21829499981186	4.28091806935916	4.78634854963124	4.75813241328081	7.86327532190458	6.15185206607086	6.70376142224804	3.30217609805926	6.33833826637202	6.24456723981878	4.60130159045602	5.53885987338825	4.96013910292126	5.3963594174842	6.69954068409976
ABHD17B	4	7	5	4	4	5	1	4	7	11	1	3	6	3	2	3	2.71415283701698	5.17602166622768	3.56743172446596	3.19089903308749	3.80650593062464	3.57421605541117	1.53796301651771	2.97944952099913	5.7788081716037	5.81014341084102	0.892081034259825	2.76078095427361	4.15414490504119	3.72010432719094	2.6981797087421	2.23318022803325
ABHD17C	10	1	10	6	5	9	3	7	3	7	10	11	10	4	4	9	6.78538209254245	0.739431666603954	7.13486344893193	4.78634854963124	4.75813241328081	6.43358889974011	4.61388904955314	5.21403666174848	2.47663207354444	3.69736398871701	8.92081034259825	10.1228634990032	6.92357484173531	4.96013910292126	5.3963594174842	6.69954068409976
ABHD2	20	21	14	13	14	15	18	15	21	25	23	10	24	15	13	18	13.5707641850849	15.528064998683	9.9888088285047	10.3704218575343	13.3227707571863	10.7226481662335	27.6833342973189	11.1729357037467	17.3364245148111	13.204871388275	20.517863787976	9.20260318091203	16.6165796201648	18.6005216359547	17.5381681068237	13.3990813681995
ABHD3	0	0	1	0	0	2	0	1	1	0	2	1	0	1	0	1	0	0	0.713486344893193	0	0	1.42968642216447	0	0.744862380249782	0.825544024514814	0	1.78416206851965	0.920260318091203	0	1.24003477573031	0	0.744393409344418
ABHD4	74	67	94	71	59	89	27	88	68	123	72	54	103	50	36	104	50.2118274848142	49.5419216624649	67.0677164199601	56.638457837303	56.1459624767135	63.6210457863189	41.5250014459783	65.5478894619808	56.1369936670073	64.9679672303132	64.2298344667074	49.694057176925	71.3128208698737	62.0017387865157	48.5672347573578	77.4169145718194
ABHD5	22	28	27	19	15	31	13	21	25	18	22	14	29	8	12	25	14.9278406035934	20.7040866649107	19.2641313121162	15.1567704071656	14.2743972398424	22.1601395435493	19.9935192147303	15.6421099852454	20.6386006128703	9.50750739955803	19.6257827537162	12.8836444532768	20.0783670410324	9.92027820584251	16.1890782524526	18.6098352336104
ABHD6	7	2	1	5	3	1	3	2	2	2	2	3	4	2	0	0	4.74976746477972	1.47886333320791	0.713486344893193	3.98862379135937	2.85487944796848	0.714843211082234	4.61388904955314	1.48972476049956	1.65108804902963	1.056389711062	1.78416206851965	2.76078095427361	2.76942993669413	2.48006955146063	0	0
ABHD8	3	0	3	3	1	2	1	4	1	0	1	2	0	0	1	0	2.03561462776274	0	2.14045903467958	2.39317427481562	0.951626482656161	1.42968642216447	1.53796301651771	2.97944952099913	0.825544024514814	0	0.892081034259825	1.84052063618241	0	0	1.34908985437105	0
ABI1	60	60	54	69	52	57	28	54	56	96	42	41	73	39	41	55	40.7122925552547	44.3658999962372	38.5282626242324	55.0430083207592	49.4845770981204	40.7460630316874	43.062964462496	40.2225685334882	46.2304653728296	50.7067061309762	37.4674034389127	37.7306730417393	50.5420963446678	48.3613562534822	55.3126840292131	40.941637513943
ABI2	43	26	31	33	21	26	16	38	27	53	26	16	32	31	17	22	29.1771429979325	19.2252233317028	22.118076691689	26.3249170229718	19.9841561357794	18.5859234881381	24.6074082642834	28.3047704494917	22.2896886619	27.9943273431431	23.1941068907555	14.7241650894593	22.155439493553	38.4410780476397	22.9345275243079	16.3766550055772
ABI3BP	87	92	85	69	65	78	35	95	80	128	53	67	111	61	47	91	59.0328242051193	68.0277133275637	60.6463393159214	55.0430083207592	61.8557213726505	55.7577704644143	53.82870557812	70.7619261237293	66.0435219611851	67.6089415079682	47.2802948157707	61.6574413121106	76.851680743262	75.6421213195491	63.4072231554394	67.739800250342
