Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	SUN	6	7	1	D2	SUN.A.6.7.1.D2
48	Human	A	SUN	6	8	1	D3	SUN.A.6.8.1.D3
48	Human	A	SUN	6	9	1	D4	SUN.A.6.9.1.D4
48	Human	A	SUN	7	13	1	F3	SUN.A.7.13.1.F3
48	Human	A	SUN	7	14	1	F4	SUN.A.7.14.1.F4
