Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	DOM.A.4.13.1.B7	DOM.A.4.14.1.B8	DOM.A.5.11.1.C7	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	DOM.A.4.13.1.B7.Norm	DOM.A.4.14.1.B8.Norm	DOM.A.5.11.1.C7.Norm
AASS	20	19	13	9	9	8	7	9	20	23	6	10	10	7	11	8	13.6476468170621	14.0404772309011	9.28213156813295	7.32438298762591	8.73900168069662	5.73477158614274	10.9799091603864	6.74427857320658	16.7229889461282	12.16524265239	5.42106698811041	9.36273648870374	6.77479921932768	6.31496716472037	9.57932680295743	6.91278164771629
AATF	15	7	14	15	14	22	11	13	11	19	8	15	6	10	11	19	10.2357351127966	5.1728074008583	9.99614168875856	12.2073049793765	13.594002614417	15.7706218618925	17.2541429663215	9.74173571685394	9.19764392037048	10.0495482780613	7.22808931748054	14.0441047330556	4.06487953159661	9.02138166388624	9.57932680295743	16.4178564133262
ABAT	4	0	0	1	0	0	0	0	1	3	3	1	0	1	0	0	2.72952936341242	0	0	0.813820331958435	0	0	0	0	0.836149447306408	1.58677078074652	2.7105334940552	0.936273648870374	0	0.902138166388624	0	0
ABCA1	215	223	329	291	141	208	137	332	276	546	178	170	280	244	214	238	146.712203283418	164.790864341629	234.909329685826	236.821716599905	136.911026330914	149.104061239711	214.892507853277	248.788942922731	230.777247456569	288.792282095866	160.824987313942	159.166520307964	189.694378141175	220.121712598824	186.361448712081	205.65525401956
ABCA10	16	6	8	4	12	6	5	14	11	15	8	2	13	10	3	3	10.9181174536497	4.4338349150214	5.71208096500489	3.25528132783374	11.6520022409288	4.30107868960706	7.84279225741886	10.4911000027658	9.19764392037048	7.93385390373258	7.22808931748054	1.87254729774075	8.80723898512598	9.02138166388624	2.61254367353384	2.59229311789361
ABCA11P	8	6	6	5	7	8	2	4	6	9	3	4	4	2	13	6	5.45905872682484	4.4338349150214	4.28406072375367	4.06910165979217	6.79700130720848	5.73477158614274	3.13711690296754	2.99745714364737	5.01689668383845	4.76031234223955	2.7105334940552	3.7450945954815	2.70991968773107	1.80427633277725	11.3210225853133	5.18458623578722
ABCA13	1	3	5	3	0	4	1	4	1	10	5	2	0	0	0	3	0.682382340853105	2.2169174575107	3.57005060312806	2.4414609958753	0	2.86738579307137	1.56855845148377	2.99745714364737	0.836149447306408	5.28923593582172	4.51755582342534	1.87254729774075	0	0	0	2.59229311789361
ABCA2	1	1	2	2	0	0	1	1	3	4	0	2	1	0	1	2	0.682382340853105	0.7389724858369	1.42802024125122	1.62764066391687	0	0	1.56855845148377	0.749364285911842	2.50844834191922	2.11569437432869	0	1.87254729774075	0.677479921932768	0	0.870847891177948	1.72819541192907
ABCA4	6	2	2	3	1	5	2	1	4	1	3	2	3	1	3	1	4.09429404511863	1.4779449716738	1.42802024125122	2.4414609958753	0.971000186744069	3.58423224133922	3.13711690296754	0.749364285911842	3.34459778922563	0.528923593582172	2.7105334940552	1.87254729774075	2.0324397657983	0.902138166388624	2.61254367353384	0.864097705964536
ABCA5	17	15	11	10	6	11	5	15	8	19	11	6	20	4	9	6	11.6004997945028	11.0845872875535	7.85411132688173	8.13820331958435	5.82600112046442	7.88531093094627	7.84279225741886	11.2404642886776	6.68919557845126	10.0495482780613	9.93862281153575	5.61764189322224	13.5495984386554	3.6085526655545	7.83763102060153	5.18458623578722
ABCA6	30	31	28	16	16	22	9	29	20	30	18	12	36	10	23	20	20.4714702255932	22.9081470609439	19.9922833775171	13.021125311335	15.5360029879051	15.7706218618925	14.1170260633539	21.7315642914434	16.7229889461282	15.8677078074652	16.2632009643312	11.2352837864445	24.3892771895796	9.02138166388624	20.0295014970928	17.2819541192907
ABCA8	49	43	58	45	38	42	20	29	27	54	31	33	40	36	40	28	33.4367347018022	31.7758168909867	41.4125869962855	36.6219149381296	36.8980070962746	30.1075508272494	31.3711690296754	21.7315642914434	22.576035077273	28.5618740534373	28.0088461052371	30.8970304127223	27.0991968773107	32.4769739899905	34.8339156471179	24.194735767007
ABCA9	56	39	46	45	25	54	25	61	56	74	37	28	74	43	22	49	38.2134110877739	28.8199269476391	32.8444655487781	36.6219149381296	24.2750046686017	38.7097082064635	39.2139612870943	45.7112214406224	46.8243690491588	39.1403459250808	33.4299130933475	26.2156621683705	50.1335142230248	38.7919411547108	19.1586536059149	42.3407875922623
ABCB10	11	14	3	9	5	2	3	5	9	9	10	1	6	3	0	2	7.50620574938416	10.3456148017166	2.14203036187683	7.32438298762591	4.85500093372035	1.43369289653569	4.70567535445131	3.74682142955921	7.52534502575767	4.76031234223955	9.03511164685068	0.936273648870374	4.06487953159661	2.70641449916587	0	1.72819541192907
ABCB5	4	14	4	1	5	8	5	9	8	13	3	6	6	1	4	1	2.72952936341242	10.3456148017166	2.85604048250245	0.813820331958435	4.85500093372035	5.73477158614274	7.84279225741886	6.74427857320658	6.68919557845126	6.87600671656824	2.7105334940552	5.61764189322224	4.06487953159661	0.902138166388624	3.48339156471179	0.864097705964536
ABCB6	15	13	18	19	8	16	6	13	13	17	18	13	18	7	7	14	10.2357351127966	9.60664231587969	12.852182171261	15.4625863072103	7.76800149395255	11.4695431722855	9.41135070890263	9.74173571685394	10.8699428149833	8.99170109089693	16.2632009643312	12.1715574353149	12.1946385947898	6.31496716472037	6.09593523824564	12.0973678835035
ABCB7	16	21	21	14	21	22	9	19	13	22	14	16	19	13	15	19	10.9181174536497	15.5184222025749	14.9942125331378	11.3934846474181	20.3910039216255	15.7706218618925	14.1170260633539	14.237921432325	10.8699428149833	11.6363190588078	12.6491563055909	14.980378381926	12.8721185167226	11.7277961630521	13.0627183676692	16.4178564133262
ABCB8	6	5	3	2	1	1	0	3	5	4	1	3	3	1	2	3	4.09429404511863	3.6948624291845	2.14203036187683	1.62764066391687	0.971000186744069	0.716846448267843	0	2.24809285773553	4.18074723653204	2.11569437432869	0.903511164685068	2.80882094661112	2.0324397657983	0.902138166388624	1.7416957823559	2.59229311789361
ABCC1	21	21	19	29	12	18	14	18	28	30	27	13	19	16	12	14	14.3300291579152	15.5184222025749	13.5661922918866	23.6007896267946	11.6520022409288	12.9032360688212	21.9598183207728	13.4885571464132	23.4121845245794	15.8677078074652	24.3948014464968	12.1715574353149	12.8721185167226	14.434210662218	10.4501746941354	12.0973678835035
ABCC10	4	4	2	8	4	6	5	5	7	7	3	3	3	2	5	7	2.72952936341242	2.9558899433476	1.42802024125122	6.51056265566748	3.88400074697628	4.30107868960706	7.84279225741886	3.74682142955921	5.85304613114485	3.70246515507521	2.7105334940552	2.80882094661112	2.0324397657983	1.80427633277725	4.35423945588974	6.04868394175175
ABCC13	0	3	0	2	1	1	0	1	0	2	1	1	0	1	0	1	0	2.2169174575107	0	1.62764066391687	0.971000186744069	0.716846448267843	0	0.749364285911842	0	1.05784718716434	0.903511164685068	0.936273648870374	0	0.902138166388624	0	0.864097705964536
ABCC3	3	3	4	5	2	1	0	4	1	4	3	4	4	3	2	5	2.04714702255932	2.2169174575107	2.85604048250245	4.06910165979217	1.94200037348814	0.716846448267843	0	2.99745714364737	0.836149447306408	2.11569437432869	2.7105334940552	3.7450945954815	2.70991968773107	2.70641449916587	1.7416957823559	4.32048852982268
ABCC4	12	6	9	7	4	8	2	16	10	12	5	7	9	3	8	12	8.18858809023726	4.4338349150214	6.4260910856305	5.69674232370904	3.88400074697628	5.73477158614274	3.13711690296754	11.9898285745895	8.36149447306408	6.34708312298607	4.51755582342534	6.55391554209262	6.09731929739491	2.70641449916587	6.96678312942359	10.3691724715744
ABCC5	7	8	11	8	11	12	5	13	11	19	8	12	24	6	12	8	4.77667638597174	5.9117798866952	7.85411132688173	6.51056265566748	10.6810020541848	8.60215737921412	7.84279225741886	9.74173571685394	9.19764392037048	10.0495482780613	7.22808931748054	11.2352837864445	16.2595181263864	5.41282899833175	10.4501746941354	6.91278164771629
ABCC9	2	3	1	2	1	1	0	3	1	1	1	0	2	0	1	4	1.36476468170621	2.2169174575107	0.714010120625611	1.62764066391687	0.971000186744069	0.716846448267843	0	2.24809285773553	0.836149447306408	0.528923593582172	0.903511164685068	0	1.35495984386554	0	0.870847891177948	3.45639082385815
ABCD3	37	35	40	29	27	25	16	33	28	57	26	32	25	19	25	43	25.2481466115649	25.8640370042915	28.5604048250245	23.6007896267946	26.2170050420899	17.9211612066961	25.0969352237403	24.7290214350908	23.4121845245794	30.1486448341838	23.4912902818118	29.960756763852	16.9369980483192	17.1406251613839	21.7711972794487	37.1562013564751
ABCD4	11	16	11	19	9	16	3	13	15	26	6	12	15	9	15	12	7.50620574938416	11.8235597733904	7.85411132688173	15.4625863072103	8.73900168069662	11.4695431722855	4.70567535445131	9.74173571685394	12.5422417095961	13.7520134331365	5.42106698811041	11.2352837864445	10.1621988289915	8.11924349749762	13.0627183676692	10.3691724715744
ABCE1	98	85	90	90	88	108	41	89	90	110	65	76	109	60	84	84	66.8734694036043	62.8126612961365	64.260910856305	73.2438298762591	85.4480164334781	77.419416412927	64.3108965108346	66.6934214461539	75.2534502575767	58.181595294039	58.7282257045294	71.1567973141484	73.8453114906717	54.1282899833175	73.1512228589476	72.5842073010211
ABCF1	131	117	119	87	77	117	45	121	115	190	95	92	117	128	107	93	89.3920866517568	86.4597808429173	84.9672043544478	70.8023688803838	74.7670143792933	83.8710344473376	70.5851303167697	90.6730785953329	96.1571864402369	100.495482780613	85.8335606450814	86.1371756960744	79.2651508661338	115.473685297744	93.1807243560405	80.3610866547019
ABCF2	47	38	51	48	55	56	26	70	45	85	31	43	56	51	50	49	32.0719700200959	28.0809544618022	36.4145161519062	39.0633759340049	53.4050102709238	40.1434011029992	40.7825197385781	52.4555000138289	37.6267251287884	44.9585054544846	28.0088461052371	40.2597669014261	37.938875628235	46.0090464858198	43.5423945588974	42.3407875922623
ABCF3	18	20	11	8	12	10	5	11	15	20	22	7	25	9	8	9	12.2828821353559	14.779449716738	7.85411132688173	6.51056265566748	11.6520022409288	7.16846448267843	7.84279225741886	8.24300714503026	12.5422417095961	10.5784718716434	19.8772456230715	6.55391554209262	16.9369980483192	8.11924349749762	6.96678312942359	7.77687935368083
ABCG1	1	1	2	1	3	7	3	4	5	5	0	3	4	1	2	0	0.682382340853105	0.7389724858369	1.42802024125122	0.813820331958435	2.91300056023221	5.0179251378749	4.70567535445131	2.99745714364737	4.18074723653204	2.64461796791086	0	2.80882094661112	2.70991968773107	0.902138166388624	1.7416957823559	0
ABHD10	27	28	23	15	16	27	6	26	12	26	17	13	19	16	26	15	18.4243232030338	20.6912296034332	16.4222327743891	12.2073049793765	15.5360029879051	19.3548541032318	9.41135070890263	19.4834714337079	10.0337933676769	13.7520134331365	15.3596897996462	12.1715574353149	12.8721185167226	14.434210662218	22.6420451706267	12.961465589468
ABHD11	3	6	9	4	5	4	2	7	9	12	5	4	12	3	5	10	2.04714702255932	4.4338349150214	6.4260910856305	3.25528132783374	4.85500093372035	2.86738579307137	3.13711690296754	5.24555000138289	7.52534502575767	6.34708312298607	4.51755582342534	3.7450945954815	8.12975906319321	2.70641449916587	4.35423945588974	8.64097705964536
ABHD12	9	1	6	2	6	5	1	3	7	3	8	4	7	4	2	3	6.14144106767795	0.7389724858369	4.28406072375367	1.62764066391687	5.82600112046442	3.58423224133922	1.56855845148377	2.24809285773553	5.85304613114485	1.58677078074652	7.22808931748054	3.7450945954815	4.74235945352937	3.6085526655545	1.7416957823559	2.59229311789361
ABHD13	30	15	35	23	18	30	16	25	24	25	19	16	28	18	20	17	20.4714702255932	11.0845872875535	24.9903542218964	18.717867635044	17.4780033613932	21.5053934480353	25.0969352237403	18.734107147796	20.0675867353538	13.2230898395543	17.1667121290163	14.980378381926	18.9694378141175	16.2384869949952	17.416957823559	14.6896610013971
ABHD14A	10	3	4	5	3	6	1	4	4	3	3	1	4	5	2	0	6.82382340853105	2.2169174575107	2.85604048250245	4.06910165979217	2.91300056023221	4.30107868960706	1.56855845148377	2.99745714364737	3.34459778922563	1.58677078074652	2.7105334940552	0.936273648870374	2.70991968773107	4.51069083194312	1.7416957823559	0
ABHD14B	11	14	13	16	10	20	6	10	15	21	7	6	15	8	9	12	7.50620574938416	10.3456148017166	9.28213156813295	13.021125311335	9.71000186744069	14.3369289653569	9.41135070890263	7.49364285911842	12.5422417095961	11.1073954652256	6.32457815279547	5.61764189322224	10.1621988289915	7.21710533110899	7.83763102060153	10.3691724715744
ABHD15	12	15	4	8	5	11	2	10	13	16	4	12	9	5	8	10	8.18858809023726	11.0845872875535	2.85604048250245	6.51056265566748	4.85500093372035	7.88531093094627	3.13711690296754	7.49364285911842	10.8699428149833	8.46277749731476	3.61404465874027	11.2352837864445	6.09731929739491	4.51069083194312	6.96678312942359	8.64097705964536
ABHD16A	4	9	6	13	9	13	4	12	9	18	5	5	16	15	9	5	2.72952936341242	6.6507523725321	4.28406072375367	10.5796643154597	8.73900168069662	9.31900382748196	6.27423380593509	8.9923714309421	7.52534502575767	9.5206246844791	4.51755582342534	4.68136824435187	10.8396787509243	13.5320724958294	7.83763102060153	4.32048852982268
ABHD17A	5	3	6	6	5	11	4	9	4	12	7	5	8	3	6	2	3.41191170426553	2.2169174575107	4.28406072375367	4.88292199175061	4.85500093372035	7.88531093094627	6.27423380593509	6.74427857320658	3.34459778922563	6.34708312298607	6.32457815279547	4.68136824435187	5.41983937546214	2.70641449916587	5.22508734706769	1.72819541192907
ABHD17B	4	7	5	4	4	5	1	4	7	11	1	3	6	4	2	2	2.72952936341242	5.1728074008583	3.57005060312806	3.25528132783374	3.88400074697628	3.58423224133922	1.56855845148377	2.99745714364737	5.85304613114485	5.8181595294039	0.903511164685068	2.80882094661112	4.06487953159661	3.6085526655545	1.7416957823559	1.72819541192907
ABHD17C	10	1	10	6	5	9	3	7	3	7	10	11	10	6	2	7	6.82382340853105	0.7389724858369	7.14010120625611	4.88292199175061	4.85500093372035	6.45161803441059	4.70567535445131	5.24555000138289	2.50844834191922	3.70246515507521	9.03511164685068	10.2990101375741	6.77479921932768	5.41282899833175	1.7416957823559	6.04868394175175
ABHD2	20	21	14	13	14	15	18	15	21	25	23	10	24	15	18	20	13.6476468170621	15.5184222025749	9.99614168875856	10.5796643154597	13.594002614417	10.7526967240176	28.2340521267079	11.2404642886776	17.5591383934346	13.2230898395543	20.7807567877566	9.36273648870374	16.2595181263864	13.5320724958294	15.6752620412031	17.2819541192907
ABHD4	74	67	94	71	59	89	27	88	68	123	72	54	103	48	69	79	50.4962932231298	49.5111565510723	67.1169513388075	57.7812435690489	57.2890110179001	63.799333895838	42.3510781900618	65.9440571602421	56.8581624168357	65.0576020106072	65.0528038573249	50.5587770390002	69.7804319590751	43.302631986654	60.0885044912784	68.2637187711984
ABHD5	22	28	27	19	15	31	13	21	25	18	22	14	29	19	15	19	15.0124114987683	20.6912296034332	19.2782732568915	15.4625863072103	14.565002801161	22.2222398963031	20.391259869289	15.7366500041487	20.9037361826602	9.5206246844791	19.8772456230715	13.1078310841852	19.6469177360503	17.1406251613839	13.0627183676692	16.4178564133262
ABHD6	7	2	1	5	3	1	3	2	2	2	2	3	4	6	2	2	4.77667638597174	1.4779449716738	0.714010120625611	4.06910165979217	2.91300056023221	0.716846448267843	4.70567535445131	1.49872857182368	1.67229889461282	1.05784718716434	1.80702232937014	2.80882094661112	2.70991968773107	5.41282899833175	1.7416957823559	1.72819541192907
ABHD8	3	0	3	3	1	2	1	4	1	0	1	2	0	1	1	1	2.04714702255932	0	2.14203036187683	2.4414609958753	0.971000186744069	1.43369289653569	1.56855845148377	2.99745714364737	0.836149447306408	0	0.903511164685068	1.87254729774075	0	0.902138166388624	0.870847891177948	0.864097705964536
ABI1	60	60	54	69	52	57	28	54	56	96	42	41	73	46	55	44	40.9429404511863	44.338349150214	38.556546513783	56.153602905132	50.4920097106916	40.8602475512671	43.9196366415456	40.4656714392395	46.8243690491588	50.7766649838885	37.9474689167728	38.3872196036853	49.456034301092	41.4983556538767	47.8966340147872	38.0202990624396
ABI2	43	26	31	33	21	26	16	38	27	53	26	16	32	35	28	33	29.3424406566835	19.2132846317594	22.134313739394	26.8560709546283	20.3910039216255	18.6380076549639	25.0969352237403	28.47584286465	22.576035077273	28.0329504598551	23.4912902818118	14.980378381926	21.6793575018486	31.5748358236019	24.3837409529825	28.5152242968297
ABI3BP	87	92	85	69	65	78	35	95	80	128	53	67	111	60	92	83	59.3672636542201	67.9854686969948	60.690860253177	56.153602905132	63.1150121383645	55.9140229648918	54.899545801932	71.189607161625	66.8919557845126	67.7022199785181	47.8860917283086	62.7303344743151	75.2002713345372	54.1282899833175	80.1180059883712	71.7201095950565
ABL1	14	17	15	20	11	14	5	14	17	15	10	7	15	17	17	13	9.55335277194347	12.5625322592273	10.7101518093842	16.2764066391687	10.6810020541848	10.0358502757498	7.84279225741886	10.4911000027658	14.2145406042089	7.93385390373258	9.03511164685068	6.55391554209262	10.1621988289915	15.3363488286066	14.8044141500251	11.233270177539
ABL2	43	25	25	22	19	27	16	22	20	44	17	30	24	21	13	31	29.3424406566835	18.4743121459225	17.8502530156403	17.9040473030856	18.4490035481373	19.3548541032318	25.0969352237403	16.4860142900605	16.7229889461282	23.2726381176156	15.3596897996462	28.0882094661112	16.2595181263864	18.9449014941611	11.3210225853133	26.7870288849006
ABLIM1	120	92	96	109	60	98	47	105	74	165	68	58	105	83	85	76	81.8858809023726	67.9854686969948	68.5449715800587	88.7064161834694	58.2600112046442	70.2509519302486	73.7222472197373	78.6832500207434	61.8750591006742	87.2723929410584	61.4387591985846	54.3038716344817	71.1353918029406	74.8774678102558	74.0220707501256	65.6714256533048
ABLIM3	12	15	16	13	6	15	5	19	17	28	10	12	19	17	6	15	8.18858809023726	11.0845872875535	11.4241619300098	10.5796643154597	5.82600112046442	10.7526967240176	7.84279225741886	14.237921432325	14.2145406042089	14.8098606203008	9.03511164685068	11.2352837864445	12.8721185167226	15.3363488286066	5.22508734706769	12.961465589468
ABR	9	11	13	10	7	14	8	6	8	9	9	3	10	5	6	6	6.14144106767795	8.1286973442059	9.28213156813295	8.13820331958435	6.79700130720848	10.0358502757498	12.5484676118702	4.49618571547105	6.68919557845126	4.76031234223955	8.13160048216561	2.80882094661112	6.77479921932768	4.51069083194312	5.22508734706769	5.18458623578722
