Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	ENT	6	10	1	D5	ENT.A.6.10.1.D5
48	Human	A	ENT	6	11	1	D6	ENT.A.6.11.1.D6
48	Human	A	ENT	6	12	1	D7	ENT.A.6.12.1.D7
