Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	SOR+URS.A.5.7.1.C3	SOR+URS.A.5.8.1.C4	SOR+URS.A.5.9.1.C5	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	SOR+URS.A.5.7.1.C3.Norm	SOR+URS.A.5.8.1.C4.Norm	SOR+URS.A.5.9.1.C5.Norm
ABCB6	15	13	18	19	8	16	6	13	13	17	18	13	18	4	1	4	10.8436081608714	10.4088100151368	13.9118354728066	16.6719592414076	8.33989694266387	12.4529787902215	10.09952138692	10.5790801921303	11.677512732011	9.66155732961209	17.5825364284705	13.0939375930732	13.3997699708751	20.9187732725687	4.16213727428399	9.4520352741347
ABCB7	16	21	21	14	21	22	9	19	13	22	14	16	19	0	6	3	11.5665153715962	16.8142315629133	16.2304747182744	12.2846015463003	21.8922294744926	17.1228458365545	15.14928208038	15.4617325884981	11.677512732011	12.5031918383215	13.6753061110326	16.1156154991671	14.1442016359237	0	24.972823645704	7.08902645560102
ABCB8	6	5	3	2	1	1	0	3	5	4	1	3	3	0	0	1	4.33744326434856	4.00338846736031	2.31863924546777	1.7549430780429	1.04248711783298	0.778311174388842	0	2.44132619818391	4.49135105077347	2.27330760696755	0.976807579359473	3.02167790609383	2.23329499514584	0	0	2.36300881853367
ABCC1	21	21	19	29	12	18	14	18	28	30	27	13	19	2	2	9	15.18105142522	16.8142315629133	14.6847152212959	25.4466746316221	12.5098454139958	14.0096011389992	23.5655499028133	14.6479571891035	25.1515658843314	17.0498070522566	26.3738046427058	13.0939375930732	14.1442016359237	10.4593866362844	8.32427454856799	21.2670793668031
ABCC10	4	4	2	8	4	6	5	5	7	7	3	3	3	1	2	3	2.89162884289904	3.20271077388825	1.54575949697852	7.01977231217161	4.16994847133193	4.66986704633305	8.41626782243331	4.06887699697319	6.28789147108286	3.97828831219321	2.93042273807842	3.02167790609383	2.23329499514584	5.22969331814218	8.32427454856799	7.08902645560102
ABCC13	0	3	0	2	1	1	0	1	0	2	1	1	0	1	1	2	0	2.40203308041619	0	1.7549430780429	1.04248711783298	0.778311174388842	0	0.813775399394637	0	1.13665380348378	0.976807579359473	1.00722596869794	0	5.22969331814218	4.16213727428399	4.72601763706735
ABCC3	3	3	4	5	2	1	0	4	1	4	3	4	4	0	2	4	2.16872163217428	2.40203308041619	3.09151899395703	4.38735769510726	2.08497423566597	0.778311174388842	0	3.25510159757855	0.898270210154694	2.27330760696755	2.93042273807842	4.02890387479177	2.97772666019446	0	8.32427454856799	9.4520352741347
ABCC4	12	6	9	7	4	8	2	16	10	12	5	7	9	0	1	4	8.67488652869712	4.80406616083238	6.95591773640332	6.14230077315016	4.16994847133193	6.22648939511074	3.36650712897332	13.0204063903142	8.98270210154694	6.81992282090265	4.88403789679737	7.05058178088559	6.69988498543753	0	4.16213727428399	9.4520352741347
ABCC5	7	8	11	8	11	12	5	13	11	19	8	12	24	1	0	3	5.06035047507332	6.4054215477765	8.50167723338184	7.01977231217161	11.4673582961628	9.33973409266611	8.41626782243331	10.5790801921303	9.88097231170163	10.7982111330959	7.81446063487578	12.0867116243753	17.8663599611668	5.22969331814218	0	7.08902645560102
ABCC9	2	3	1	2	1	1	0	3	1	1	1	0	2	1	1	0	1.44581442144952	2.40203308041619	0.772879748489258	1.7549430780429	1.04248711783298	0.778311174388842	0	2.44132619818391	0.898270210154694	0.568326901741888	0.976807579359473	0	1.48886333009723	5.22969331814218	4.16213727428399	0
ABCD3	37	35	40	29	27	25	16	33	28	57	26	32	25	4	1	11	26.7475667968161	28.0237192715222	30.9151899395703	25.4466746316221	28.1471521814905	19.4577793597211	26.9320570317866	26.854588180023	25.1515658843314	32.3946333992876	25.3969970633463	32.2312309983341	18.6107916262154	20.9187732725687	4.16213727428399	25.9930970038704
ABCD4	11	16	11	19	9	16	3	13	15	26	6	12	15	3	2	3	7.95197931797236	12.810843095553	8.50167723338184	16.6719592414076	9.38238406049685	12.4529787902215	5.04976069345999	10.5790801921303	13.4740531523204	14.7764994452891	5.86084547615684	12.0867116243753	11.1664749757292	15.6890799544265	8.32427454856799	7.08902645560102
ABCE1	98	85	90	90	88	108	41	89	90	110	65	76	109	13	6	27	70.8449066510265	68.0576039451253	69.5591773640332	78.9724385119306	91.7388663693025	84.057606833995	69.0133961439532	72.4260105461227	80.8443189139224	62.5159591916076	63.4924926583657	76.5491736210436	81.143051490299	67.9860131358483	24.972823645704	63.8012381004092
ABCF1	131	117	119	87	77	117	45	121	115	190	95	92	117	18	23	44	94.7008446049436	93.6792901362313	91.9726900702217	76.3400238948662	80.2715080731397	91.0624074034946	75.7464104018998	98.4668233267511	103.30107416779	107.982111330959	92.7967200391499	92.6647891202107	87.0985048106879	94.1344797265592	95.7291573085319	103.972388015482
ABCF2	47	38	51	48	55	56	26	70	45	85	31	43	56	7	7	9	33.9766389040637	30.4257523519384	39.4168671729522	42.1186338730297	57.3367914808141	43.5854257657752	43.7645926766532	56.9642779576246	40.4221594569612	48.3077866480604	30.2810349601437	43.3107166540115	41.6881732427224	36.6078532269952	29.134960919988	21.2670793668031
ABCF3	18	20	11	8	12	10	5	11	15	20	22	7	25	4	2	6	13.0123297930457	16.0135538694413	8.50167723338184	7.01977231217161	12.5098454139958	7.78311174388842	8.41626782243331	8.95152939334101	13.4740531523204	11.3665380348378	21.4897667459084	7.05058178088559	18.6107916262154	20.9187732725687	8.32427454856799	14.178052911202
ABCG1	1	1	2	1	3	7	3	4	5	5	0	3	4	0	0	1	0.72290721072476	0.800677693472063	1.54575949697852	0.877471539021451	3.12746135349895	5.4481782207219	5.04976069345999	3.25510159757855	4.49135105077347	2.84163450870944	0	3.02167790609383	2.97772666019446	0	0	2.36300881853367
ABHD10	27	28	23	15	16	27	6	26	12	26	17	13	19	5	5	6	19.5184946895685	22.4189754172178	17.7762342152529	13.1620730853218	16.6797938853277	21.0144017084987	10.09952138692	21.1581603842606	10.7792425218563	14.7764994452891	16.605728849111	13.0939375930732	14.1442016359237	26.1484665907109	20.81068637142	14.178052911202
ABHD11	3	6	9	4	5	4	2	7	9	12	5	4	12	0	1	7	2.16872163217428	4.80406616083238	6.95591773640332	3.5098861560858	5.21243558916492	3.11324469755537	3.36650712897332	5.69642779576246	8.08443189139224	6.81992282090265	4.88403789679737	4.02890387479177	8.93317998058338	0	4.16213727428399	16.5410617297357
ABHD12	9	1	6	2	6	5	1	3	7	3	8	4	7	3	0	4	6.50616489652284	0.800677693472063	4.63727849093555	1.7549430780429	6.2549227069979	3.89155587194421	1.68325356448666	2.44132619818391	6.28789147108286	1.70498070522566	7.81446063487578	4.02890387479177	5.2110216553403	15.6890799544265	0	9.4520352741347
ABHD13	30	15	35	23	18	30	16	25	24	25	19	16	28	3	5	8	21.6872163217428	12.0101654020809	27.050791197124	20.1818453974934	18.7647681209937	23.3493352316653	26.9320570317866	20.3443849848659	21.5584850437127	14.2081725435472	18.55934400783	16.1156154991671	20.8440866213612	15.6890799544265	20.81068637142	18.9040705482694
ABHD14A	10	3	4	5	3	6	1	4	4	3	3	1	4	0	1	0	7.2290721072476	2.40203308041619	3.09151899395703	4.38735769510726	3.12746135349895	4.66986704633305	1.68325356448666	3.25510159757855	3.59308084061878	1.70498070522566	2.93042273807842	1.00722596869794	2.97772666019446	0	4.16213727428399	0
ABHD14B	11	14	13	16	10	20	6	10	15	21	7	6	15	2	4	8	7.95197931797236	11.2094877086089	10.0474367303604	14.0395446243432	10.4248711783298	15.5662234877768	10.09952138692	8.13775399394637	13.4740531523204	11.9348649365796	6.83765305551631	6.04335581218765	11.1664749757292	10.4593866362844	16.648549097136	18.9040705482694
ABHD15	12	15	4	8	5	11	2	10	13	16	4	12	9	1	3	4	8.67488652869712	12.0101654020809	3.09151899395703	7.01977231217161	5.21243558916492	8.56142291827727	3.36650712897332	8.13775399394637	11.677512732011	9.0932304278702	3.90723031743789	12.0867116243753	6.69988498543753	5.22969331814218	12.486411822852	9.4520352741347
ABHD16A	4	9	6	13	9	13	4	12	9	18	5	5	16	3	3	5	2.89162884289904	7.20609924124856	4.63727849093555	11.4071300072789	9.38238406049685	10.118045267055	6.73301425794665	9.76530479273564	8.08443189139224	10.229884231354	4.88403789679737	5.03612984348971	11.9109066407778	15.6890799544265	12.486411822852	11.8150440926684
ABHD17A	5	3	6	6	5	11	4	9	4	12	7	5	8	0	3	1	3.6145360536238	2.40203308041619	4.63727849093555	5.26482923412871	5.21243558916492	8.56142291827727	6.73301425794665	7.32397859455173	3.59308084061878	6.81992282090265	6.83765305551631	5.03612984348971	5.95545332038892	0	12.486411822852	2.36300881853367
ABHD17B	4	7	5	4	4	5	1	4	7	11	1	3	6	3	1	3	2.89162884289904	5.60474385430444	3.86439874244629	3.5098861560858	4.16994847133193	3.89155587194421	1.68325356448666	3.25510159757855	6.28789147108286	6.25159591916076	0.976807579359473	3.02167790609383	4.46658999029169	15.6890799544265	4.16213727428399	7.08902645560102
ABHD17C	10	1	10	6	5	9	3	7	3	7	10	11	10	1	2	2	7.2290721072476	0.800677693472063	7.72879748489258	5.26482923412871	5.21243558916492	7.00480056949958	5.04976069345999	5.69642779576246	2.69481063046408	3.97828831219321	9.76807579359473	11.0794856556774	7.44431665048615	5.22969331814218	8.32427454856799	4.72601763706735
ABHD2	20	21	14	13	14	15	18	15	21	25	23	10	24	1	3	10	14.4581442144952	16.8142315629133	10.8203164788496	11.4071300072789	14.5948196496618	11.6746676158326	30.2985641607599	12.2066309909196	18.8636744132486	14.2081725435472	22.4665743252679	10.0722596869794	17.8663599611668	5.22969331814218	12.486411822852	23.6300881853367
ABHD4	74	67	94	71	59	89	27	88	68	123	72	54	103	6	13	23	53.4951335936322	53.6454054626282	72.6506963579902	62.300479270523	61.506739952146	69.269694520607	45.4478462411399	71.6122351467281	61.0823742905192	69.9042089142522	70.3301457138821	54.3902023096889	76.6764615000073	31.3781599088531	54.1077845656919	54.3492028262745
ABHD5	22	28	27	19	15	31	13	21	25	18	22	14	29	3	7	4	15.9039586359447	22.4189754172178	20.86775320921	16.6719592414076	15.6373067674947	24.1276464060541	21.8822963383266	17.0892833872874	22.4567552538673	10.229884231354	21.4897667459084	14.1011635617712	21.5885182864098	15.6890799544265	29.134960919988	9.4520352741347
ABHD6	7	2	1	5	3	1	3	2	2	2	2	3	4	0	1	3	5.06035047507332	1.60135538694413	0.772879748489258	4.38735769510726	3.12746135349895	0.778311174388842	5.04976069345999	1.62755079878927	1.79654042030939	1.13665380348378	1.95361515871895	3.02167790609383	2.97772666019446	0	4.16213727428399	7.08902645560102
ABHD8	3	0	3	3	1	2	1	4	1	0	1	2	0	0	0	0	2.16872163217428	0	2.31863924546777	2.63241461706435	1.04248711783298	1.55662234877768	1.68325356448666	3.25510159757855	0.898270210154694	0	0.976807579359473	2.01445193739588	0	0	0	0
ABI1	60	60	54	69	52	57	28	54	56	96	42	41	73	5	10	21	43.3744326434856	48.0406616083238	41.7355064184199	60.5455361924801	54.2093301273151	44.363736940164	47.1310998056265	43.9438715673104	50.3031317686629	54.5593825672212	41.0259183330979	41.2962647166156	54.3435115485489	26.1484665907109	41.6213727428399	49.6231851892072
ABI2	43	26	31	33	21	26	16	38	27	53	26	16	32	4	9	12	31.0850100611647	20.8176200302736	23.959272203167	28.9565607877079	21.8922294744926	20.2360905341099	26.9320570317866	30.9234651769962	24.2532956741767	30.12132579232	25.3969970633463	16.1156154991671	23.8218132815557	20.9187732725687	37.4592354685559	28.3561058224041
ABI3BP	87	92	85	69	65	78	35	95	80	128	53	67	111	13	25	31	62.8929273330541	73.6623477994298	65.6947786215869	60.5455361924801	67.7616626591439	60.7082716023297	58.9138747570332	77.3086629424905	71.8616168123755	72.7458434229616	51.7708017060521	67.4841399027621	82.6319148203962	67.9860131358483	104.0534318571	73.2532733745439
ABL1	14	17	15	20	11	14	5	14	17	15	10	7	15	2	6	10	10.1207009501466	13.6115207890251	11.5931962273389	17.549430780429	11.4673582961628	10.8963564414438	8.41626782243331	11.3928555915249	15.2705935726298	8.52490352612832	9.76807579359473	7.05058178088559	11.1664749757292	10.4593866362844	24.972823645704	23.6300881853367
ABL2	43	25	25	22	19	27	16	22	20	44	17	30	24	8	8	24	31.0850100611647	20.0169423368016	19.3219937122314	19.3043738584719	19.8072552388267	21.0144017084987	26.9320570317866	17.903058786682	17.9654042030939	25.0063836766431	16.605728849111	30.2167790609383	17.8663599611668	41.8375465451374	33.297098194272	56.7122116448082
