Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	TRS+URS	2	8	1	A3	TRS+URS.A.2.8.1.A3
48	Human	A	TRS+URS	3	8	1	A7	TRS+URS.A.3.8.1.A7
48	Human	A	TRS+URS	4	6	1	B1	TRS+URS.A.4.6.1.B1
