Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	SUN+DOM	6	22	1	D12	SUN+DOM.A.6.22.1.D12
48	Human	A	SUN+DOM	6	23	1	E1	SUN+DOM.A.6.23.1.E1
48	Human	A	SUN+DOM	6	24	1	E2	SUN+DOM.A.6.24.1.E2
