Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	TRS+DOM.A.4.15.1.B9.Norm	TRS+DOM.A.4.16.1.B10.Norm	TRS+DOM.A.5.12.1.C8.Norm
ABCA1	215	223	329	291	141	208	137	332	276	546	178	170	280	1545	227	126	146.43043858902	168.213122505383	237.852876366315	231.88652328432	133.817322283489	150.423693864768	211.471470073542	251.039457337876	227.518624920042	288.261783055834	159.237799493536	156.939360618706	194.283118770698	218.982832707781	161.017630439107	219.538302434014
ABCA10	16	6	8	4	12	6	5	14	11	15	8	2	13	38	5	4	10.8971489182527	4.52591361001029	5.78365656817788	3.18744361902846	11.3887082794459	4.33914501532983	7.7179368639979	10.586001213043	9.06777128304514	7.91927975428117	7.15675503341734	1.8463454190436	9.02028765721098	5.38598552938232	3.54664384227107	6.96946991854011
ABCA11P	8	6	6	5	7	8	2	4	6	9	3	4	4	34	4	2	5.44857445912633	4.52591361001029	4.33774242613341	3.98430452378557	6.64341316301008	5.78552668710645	3.08717474559916	3.02457177515513	4.94605706347917	4.7515678525687	2.6837831375315	3.69269083808719	2.77547312529569	4.81903968418418	2.83731507381686	3.48473495927006
ABCA13	1	3	5	3	0	4	1	4	1	10	5	2	0	14	3	1	0.681071807390791	2.26295680500515	3.61478535511118	2.39058271427134	0	2.89276334355322	1.54358737279958	3.02457177515513	0.824342843913194	5.27951983618744	4.47297189588584	1.8463454190436	0	1.98431045819349	2.12798630536264	1.74236747963503
ABCA2	1	1	2	2	0	0	1	1	3	4	0	2	1	9	2	1	0.681071807390791	0.754318935001715	1.44591414204447	1.59372180951423	0	0	1.54358737279958	0.756142943788783	2.47302853173958	2.11180793447498	0	1.8463454190436	0.693868281323921	1.27562815169581	1.41865753690843	1.74236747963503
ABCA4	6	2	2	3	1	5	2	1	4	1	3	2	3	16	3	1	4.08643084434475	1.50863787000343	1.44591414204447	2.39058271427134	0.949059023287155	3.61595417944153	3.08717474559916	0.756142943788783	3.29737137565278	0.527951983618744	2.6837831375315	1.8463454190436	2.08160484397176	2.26778338079256	2.12798630536264	1.74236747963503
ABCA5	17	15	11	10	6	11	5	15	8	19	11	6	20	57	9	1	11.5782207256434	11.3147840250257	7.95252778124459	7.96860904757115	5.69435413972293	7.95509919477136	7.7179368639979	11.3421441568318	6.59474275130555	10.0310876887561	9.84053817094884	5.53903625713079	13.8773656264784	8.07897829407348	6.38395891608792	1.74236747963503
ABCA6	30	31	28	16	16	22	9	29	20	30	18	12	36	106	21	10	20.4321542217237	23.3838869850532	20.2427979886226	12.7497744761138	15.1849443725945	15.9101983895427	13.8922863551962	21.9281453698747	16.4868568782639	15.8385595085623	16.102698825189	11.0780725142616	24.9792581276612	15.0240648977507	14.8959041375385	17.4236747963503
ABCA8	49	43	58	45	38	42	20	29	27	54	31	33	40	175	34	16	33.3725185621488	32.4357142050738	41.9315101192896	35.8587407140702	36.0642428849119	30.3740151073088	30.8717474559916	21.9281453698747	22.2572567856562	28.5094071154122	27.7324257544922	30.4646994142193	27.7547312529569	24.8038807274186	24.1171781274433	27.8778796741604
ABCA9	56	39	46	45	25	54	25	61	56	74	37	28	74	275	36	22	38.1400212138843	29.4184384650669	33.2560252670228	35.8587407140702	23.7264755821789	39.0523051379685	38.5896843199895	46.1247195711158	46.1631992591389	39.0684467877871	33.0999920295552	25.8488358666103	51.3462528179702	38.9775268573721	25.5358356643517	38.3320845519706
ABCB10	11	14	3	9	5	2	3	5	9	9	10	1	6	24	6	0	7.4917898812987	10.560465090024	2.16887121306671	7.17174814281403	4.74529511643577	1.44638167177661	4.63076211839874	3.78071471894392	7.41908559521875	4.7515678525687	8.94594379177167	0.923172709521798	4.16320968794353	3.40167507118884	4.25597261072528	0
ABCB5	4	14	4	1	5	8	5	9	8	13	3	6	6	25	10	3	2.72428722956316	10.560465090024	2.89182828408894	0.796860904757115	4.74529511643577	5.78552668710645	7.7179368639979	6.80528649409905	6.59474275130555	6.86337578704368	2.6837831375315	5.53903625713079	4.16320968794353	3.54341153248837	7.09328768454214	5.22710243890508
ABCB6	15	13	18	19	8	16	6	13	13	17	18	13	18	62	18	11	10.2160771108619	9.8061461550223	13.0132272784002	15.1403571903852	7.59247218629724	11.5710533742129	9.26152423679748	9.82985826925418	10.7164569708715	8.97518372151865	16.102698825189	12.0012452237834	12.4896290638306	8.78766060057116	12.7679178321758	19.1660422759853
ABCB7	16	21	21	14	21	22	9	19	13	22	14	16	19	111	34	6	10.8971489182527	15.840697635036	15.1820984914669	11.1560526665996	19.9302394890303	15.9101983895427	13.8922863551962	14.3667159319869	10.7164569708715	11.6149436396124	12.5243213084803	14.7707633523488	13.1834973451545	15.7327472042484	24.1171781274433	10.4542048778102
ABCB8	6	5	3	2	1	1	0	3	5	4	1	3	3	14	2	0	4.08643084434475	3.77159467500858	2.16887121306671	1.59372180951423	0.949059023287155	0.723190835888306	0	2.26842883136635	4.12171421956597	2.11180793447498	0.894594379177167	2.76951812856539	2.08160484397176	1.98431045819349	1.41865753690843	0
ABCC1	21	21	19	29	12	18	14	18	28	30	27	13	19	75	29	10	14.3025079552066	15.840697635036	13.7361843494225	23.1089662379563	11.3887082794459	13.0174350459895	21.6102232191941	13.6105729881981	23.0815996295694	15.8385595085623	24.1540482377835	12.0012452237834	13.1834973451545	10.6302345974651	20.5705342851722	17.4236747963503
ABCC10	4	4	2	8	4	6	5	5	7	7	3	3	3	33	8	4	2.72428722956316	3.01727574000686	1.44591414204447	6.37488723805692	3.79623609314862	4.33914501532983	7.7179368639979	3.78071471894392	5.77039990739236	3.69566388533121	2.6837831375315	2.76951812856539	2.08160484397176	4.67730322288465	5.67463014763371	6.96946991854011
ABCC13	0	3	0	2	1	1	0	1	0	2	1	1	0	9	3	0	0	2.26295680500515	0	1.59372180951423	0.949059023287155	0.723190835888306	0	0.756142943788783	0	1.05590396723749	0.894594379177167	0.923172709521798	0	1.27562815169581	2.12798630536264	0
ABCC3	3	3	4	5	2	1	0	4	1	4	3	4	4	18	3	2	2.04321542217237	2.26295680500515	2.89182828408894	3.98430452378557	1.89811804657431	0.723190835888306	0	3.02457177515513	0.824342843913194	2.11180793447498	2.6837831375315	3.69269083808719	2.77547312529569	2.55125630339163	2.12798630536264	3.48473495927006
ABCC4	12	6	9	7	4	8	2	16	10	12	5	7	9	39	13	4	8.17286168868949	4.52591361001029	6.50661363920012	5.5780263332998	3.79623609314862	5.78552668710645	3.08717474559916	12.0982871006205	8.24342843913194	6.33542380342493	4.47297189588584	6.46220896665259	6.24481453191529	5.52772199068186	9.22127398990478	6.96946991854011
ABCC5	7	8	11	8	11	12	5	13	11	19	8	12	24	70	12	1	4.76750265173554	6.03455148001372	7.95252778124459	6.37488723805692	10.4396492561587	8.67829003065967	7.7179368639979	9.82985826925418	9.06777128304514	10.0310876887561	7.15675503341734	11.0780725142616	16.6528387517741	9.92155229096744	8.51194522145057	1.74236747963503
ABCC9	2	3	1	2	1	1	0	3	1	1	1	0	2	5	0	0	1.36214361478158	2.26295680500515	0.722957071022235	1.59372180951423	0.949059023287155	0.723190835888306	0	2.26842883136635	0.824342843913194	0.527951983618744	0.894594379177167	0	1.38773656264784	0.708682306497674	0	0
ABCD1	3	0	0	2	0	1	0	1	1	1	0	0	0	4	1	2	2.04321542217237	0	0	1.59372180951423	0	0.723190835888306	0	0.756142943788783	0.824342843913194	0.527951983618744	0	0	0	0.566945845198139	0.709328768454214	3.48473495927006
ABCD3	37	35	40	29	27	25	16	33	28	57	26	32	25	155	32	15	25.1996568734593	26.40116272506	28.9182828408894	23.1089662379563	25.6245936287532	18.0797708972076	24.6973979647933	24.9527171450299	23.0815996295694	30.0932630662684	23.2594538586064	29.5415267046975	17.346707033098	21.9691515014279	22.6985205905348	26.1355121945254
ABCD4	11	16	11	19	9	16	3	13	15	26	6	12	15	65	20	5	7.4917898812987	12.0691029600274	7.95252778124459	15.1403571903852	8.54153120958439	11.5710533742129	4.63076211839874	9.82985826925418	12.3651426586979	13.7267515740874	5.367566275063	11.0780725142616	10.4080242198588	9.21286998446976	14.1865753690843	8.71183739817514
ABCE1	98	85	90	90	88	108	41	89	90	110	65	76	109	533	105	49	66.7450371242975	64.1171094751458	65.0661363920012	71.7174814281403	83.5171940492696	78.104610275937	63.2870822847828	67.2967219972017	74.1908559521875	58.0747181980619	58.1486346465159	70.1611259236567	75.6316426643074	75.545533872652	74.4795206876924	85.3760065021164
ABCF1	131	117	119	87	77	117	45	121	115	190	95	92	117	677	127	55	89.2204067681936	88.2553153952007	86.031891451646	69.326898713869	73.0775447931109	84.6133277989318	69.4614317759811	91.4932961984428	94.7994270500173	100.310876887561	84.9864660218309	84.9318892760054	81.1825889148988	95.9555842997851	90.0847535936852	95.8302113799265
ABCF2	47	38	51	48	55	56	26	70	45	85	31	43	56	309	54	19	32.0103749473672	28.6641195300652	36.870810622134	38.2493234283415	52.1982462807935	40.4986868097451	40.1332716927891	52.9300060652148	37.0954279760937	44.8759186075933	27.7324257544922	39.6964265094373	38.8566237541396	43.7965665415563	38.3037534965275	33.1049821130655
ABCF3	18	20	11	8	12	10	5	11	15	20	22	7	25	92	13	4	12.2592925330342	15.0863787000343	7.95252778124459	6.37488723805692	11.3887082794459	7.23190835888306	7.7179368639979	8.31757238167662	12.3651426586979	10.5590396723749	19.6810763418977	6.46220896665259	17.346707033098	13.0397544395572	9.22127398990478	6.96946991854011
ABCG1	1	1	2	1	3	7	3	4	5	5	0	3	4	4	1	1	0.681071807390791	0.754318935001715	1.44591414204447	0.796860904757115	2.84717706986146	5.06233585121814	4.63076211839874	3.02457177515513	4.12171421956597	2.63975991809372	0	2.76951812856539	2.77547312529569	0.566945845198139	0.709328768454214	1.74236747963503
ABCG2	0	0	1	0	2	0	0	0	0	2	0	0	1	9	0	0	0	0	0.722957071022235	0	1.89811804657431	0	0	0	0	1.05590396723749	0	0	0.693868281323921	1.27562815169581	0	0
ABHD10	27	28	23	15	16	27	6	26	12	26	17	13	19	117	25	9	18.3889387995514	21.120930180048	16.6280126335114	11.9529135713567	15.1849443725945	19.5261525689843	9.26152423679748	19.6597165385084	9.89211412695833	13.7267515740874	15.2081044460118	12.0012452237834	13.1834973451545	16.5831659720456	17.7332192113553	15.6813073167152
ABHD11	3	6	9	4	5	4	2	7	9	12	5	4	12	30	6	3	2.04321542217237	4.52591361001029	6.50661363920012	3.18744361902846	4.74529511643577	2.89276334355322	3.08717474559916	5.29300060652148	7.41908559521875	6.33542380342493	4.47297189588584	3.69269083808719	8.32641937588706	4.25209383898604	4.25597261072528	5.22710243890508
ABHD12	9	1	6	2	6	5	1	3	7	3	8	4	7	19	8	2	6.12964626651712	0.754318935001715	4.33774242613341	1.59372180951423	5.69435413972293	3.61595417944153	1.54358737279958	2.26842883136635	5.77039990739236	1.58385595085623	7.15675503341734	3.69269083808719	4.85707796926745	2.69299276469116	5.67463014763371	3.48473495927006
ABHD13	30	15	35	23	18	30	16	25	24	25	19	16	28	102	19	10	20.4321542217237	11.3147840250257	25.3034974857782	18.3278008094136	17.0830624191688	21.6957250766492	24.6973979647933	18.9035735947196	19.7842282539167	13.1987995904686	16.9972932043662	14.7707633523488	19.4283118770698	14.4571190525525	13.4772466006301	17.4236747963503
ABHD14A	10	3	4	5	3	6	1	4	4	3	3	1	4	24	6	2	6.81071807390791	2.26295680500515	2.89182828408894	3.98430452378557	2.84717706986146	4.33914501532983	1.54358737279958	3.02457177515513	3.29737137565278	1.58385595085623	2.6837831375315	0.923172709521798	2.77547312529569	3.40167507118884	4.25597261072528	3.48473495927006
ABHD14B	11	14	13	16	10	20	6	10	15	21	7	6	15	77	21	8	7.4917898812987	10.560465090024	9.39844192328906	12.7497744761138	9.49059023287155	14.4638167177661	9.26152423679748	7.56142943788783	12.3651426586979	11.0869916559936	6.26216065424017	5.53903625713079	10.4080242198588	10.9137075200642	14.8959041375385	13.9389398370802
ABHD15	12	15	4	8	5	11	2	10	13	16	4	12	9	39	14	5	8.17286168868949	11.3147840250257	2.89182828408894	6.37488723805692	4.74529511643577	7.95509919477136	3.08717474559916	7.56142943788783	10.7164569708715	8.44723173789991	3.57837751670867	11.0780725142616	6.24481453191529	5.52772199068186	9.93060275835899	8.71183739817514
ABHD16A	4	9	6	13	9	13	4	12	9	18	5	5	16	55	8	4	2.72428722956316	6.78887041501544	4.33774242613341	10.3591917618425	8.54153120958439	9.40148086654797	6.17434949119832	9.0737153254654	7.41908559521875	9.5031357051374	4.47297189588584	4.61586354760899	11.1018925011827	7.79550537147441	5.67463014763371	6.96946991854011
ABHD17A	5	3	6	6	5	11	4	9	4	12	7	5	8	37	9	3	3.40535903695396	2.26295680500515	4.33774242613341	4.78116542854269	4.74529511643577	7.95509919477136	6.17434949119832	6.80528649409905	3.29737137565278	6.33542380342493	6.26216065424017	4.61586354760899	5.55094625059137	5.24424906808279	6.38395891608792	5.22710243890508
ABHD17B	4	7	5	4	4	5	1	4	7	11	1	3	6	27	6	3	2.72428722956316	5.28023254501201	3.61478535511118	3.18744361902846	3.79623609314862	3.61595417944153	1.54358737279958	3.02457177515513	5.77039990739236	5.80747181980619	0.894594379177167	2.76951812856539	4.16320968794353	3.82688445508744	4.25597261072528	5.22710243890508
ABHD17C	10	1	10	6	5	9	3	7	3	7	10	11	10	26	5	2	6.81071807390791	0.754318935001715	7.22957071022235	4.78116542854269	4.74529511643577	6.50871752299475	4.63076211839874	5.29300060652148	2.47302853173958	3.69566388533121	8.94594379177167	10.1548998047398	6.93868281323921	3.6851479937879	3.54664384227107	3.48473495927006
ABHD2	20	21	14	13	14	15	18	15	21	25	23	10	24	123	22	8	13.6214361478158	15.840697635036	10.1213989943113	10.3591917618425	13.2868263260202	10.8478625383246	27.7845727103924	11.3421441568318	17.3111997221771	13.1987995904686	20.5756707210749	9.23172709521798	16.6528387517741	17.4335847398428	15.6052329059927	13.9389398370802
ABHD4	74	67	94	71	59	89	27	88	68	123	72	54	103	439	73	36	50.3993137469185	50.5393686451149	67.9579646760901	56.5771242377551	55.9944823739421	64.3639843940592	41.6768590655887	66.5405790534129	56.0553133860972	64.9380939851056	64.410795300756	49.8513263141771	71.4684329763639	62.2223065104958	51.7810000971576	62.725229266861
ABHD5	22	28	27	19	15	31	13	21	25	18	22	14	29	115	14	6	14.9835797625974	21.120930180048	19.5198409176004	15.1403571903852	14.2358853493073	22.4189159125375	20.0666358463945	15.8790018195645	20.6085710978299	9.5031357051374	19.6810763418977	12.9244179333052	20.1221801583937	16.2996930494465	9.93060275835899	10.4542048778102
ABHD6	7	2	1	5	3	1	3	2	2	2	2	3	4	16	0	0	4.76750265173554	1.50863787000343	0.722957071022235	3.98430452378557	2.84717706986146	0.723190835888306	4.63076211839874	1.51228588757757	1.64868568782639	1.05590396723749	1.78918875835433	2.76951812856539	2.77547312529569	2.26778338079256	0	0
ABHD8	3	0	3	3	1	2	1	4	1	0	1	2	0	14	2	0	2.04321542217237	0	2.16887121306671	2.39058271427134	0.949059023287155	1.44638167177661	1.54358737279958	3.02457177515513	0.824342843913194	0	0.894594379177167	1.8463454190436	0	1.98431045819349	1.41865753690843	0
ABI1	60	60	54	69	52	57	28	54	56	96	42	41	73	351	59	21	40.8643084434475	45.2591361001029	39.0396818352007	54.9834024282409	49.3510692109321	41.2218776456334	43.2204464383882	40.8317189645943	46.1631992591389	50.6833904273995	37.572963925441	37.8500810903937	50.6523845366463	49.7494979161367	41.8503973387986	36.5897170723356
ABI2	43	26	31	33	21	26	16	38	27	53	26	16	32	134	35	14	29.286087717804	19.6122923100446	22.4116692016893	26.2964098569848	19.9302394890303	18.8029617330959	24.6973979647933	28.7334318639738	22.2572567856562	27.9814551317934	23.2594538586064	14.7707633523488	22.2037850023655	18.9926858141377	24.8265068958975	24.3931447148904
ABI3BP	87	92	85	69	65	78	35	95	80	128	53	67	111	456	104	35	59.2532472429988	69.3973420201578	61.45135103689	54.9834024282409	61.6888365136651	56.4088851992878	54.0255580479853	71.8335796599344	65.9474275130555	67.5778539031993	47.4135020963899	61.8525715379605	77.0193792269553	64.6318263525879	73.7701919192382	60.982861787226
ABL1	14	17	15	20	11	14	5	14	17	15	10	7	15	61	18	4	9.53500530347108	12.8234218950292	10.8443560653335	15.9372180951423	10.4396492561587	10.1246717024363	7.7179368639979	10.586001213043	14.0138283465243	7.91927975428117	8.94594379177167	6.46220896665259	10.4080242198588	8.64592413927162	12.7679178321758	6.96946991854011
ABL2	43	25	25	22	19	27	16	22	20	44	17	30	24	96	26	16	29.286087717804	18.8579733750429	18.0739267755559	17.5309399046565	18.0321214424559	19.5261525689843	24.6973979647933	16.6351447633532	16.4868568782639	23.2298872792248	15.2081044460118	27.6951812856539	16.6528387517741	13.6067002847553	18.4425479798096	27.8778796741604
ABLIM1	120	92	96	109	60	98	47	105	74	165	68	58	105	558	114	43	81.7286168868949	69.3973420201578	69.4038788181346	86.8578386185255	56.9435413972293	70.872701917054	72.5486065215803	79.3950090978223	61.0013704495764	87.1120772970928	60.8324177840474	53.5440171522643	72.8561695390117	79.0889454051404	80.8634796037804	74.9218016243062
