Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	TRS	ACTA2	0.343622598678445	12.3836573168081	7.03545525907189e-06	0.00634497557864584
A	1	CTRL	TRS	AHNAK	0.397810248279506	8.34704494273323	6.88355673635825e-06	0.00634497557864584
A	1	CTRL	TRS	ASPN	0.460236310027429	7.36336685028569	3.60193007030073e-06	0.00410121071394862
A	1	CTRL	TRS	BRPF1	-2.26863747962593	2.5020783432105	4.5525592952115e-05	0.0287403068306702
A	1	CTRL	TRS	C6orf211	0.604184568389056	5.03921057252699	5.31098952130698e-05	0.0319316922362009
A	1	CTRL	TRS	DDIT3	0.423963671232772	7.79410496174596	2.85762033141554e-06	0.00360803143044526
A	1	CTRL	TRS	DHRS3	-0.598620690276871	6.70069552342507	5.06757515543651e-07	0.000914045770179162
A	1	CTRL	TRS	ERV3-1	-0.941850386238548	4.25426644752951	3.35469115683775e-05	0.0264727065913959
A	1	CTRL	TRS	FABP4	-1.18870895912176	5.18046302554465	1.67048783449025e-13	7.03052646609132e-10
A	1	CTRL	TRS	GADD45B	0.925360664667137	4.07592280660146	2.68485379702861e-06	0.00360803143044526
A	1	CTRL	TRS	HBB	-1.73869737496223	6.60166502945361	1.94969481149962e-44	2.46168466899942e-40
A	1	CTRL	TRS	KLF6	0.567371202356534	5.28619174542547	4.47076891077536e-05	0.0287403068306702
A	1	CTRL	TRS	NPL	1.66243751329903	1.94238502947811	0.000145451777468508	0.0834760973780629
A	1	CTRL	TRS	OGN	0.774362125583494	4.34033412147272	3.90910972626099e-05	0.0274202330020951
A	1	CTRL	TRS	OMD	0.98947825886213	3.93268812050653	1.45313170278698e-06	0.00229340510992356
A	1	CTRL	TRS	PTX3	0.625458195382715	6.97246511307305	3.08718440328732e-09	9.74469756897644e-06
A	1	CTRL	TRS	RGS5	0.942638878698683	6.37944245702801	1.72377657146725e-17	1.08822014956727e-13
A	1	CTRL	TRS	SAA1	-1.68258040353497	2.8033325716253	1.20443836213615e-05	0.010138159173554
A	1	CTRL	TRS	SLN	0.654228986199735	5.7507265610652	2.06122267460002e-07	0.000433749958158331
A	1	CTRL	TRS	SREBF1	1.84224760434409	1.88853815297949	3.69180022971629e-05	0.0274192174708223
A	1	CTRL	TRS	TNFAIP6	0.43862375891122	7.67595762540827	3.89787173826893e-06	0.00410121071394862
A	1	CTRL	TRS	TRIB3	0.872426054514084	4.7299933466741	5.55677302684923e-08	0.000140319632473997
A	1	CTRL	TRS+URS	A1BG-AS1	1.8042996454729	1.59863910326723	0.00161556060643022	0.023136314270619
A	1	CTRL	TRS+URS	A2M	1.03186835404321	3.1545592236869	0.000505422030746266	0.0111252408282953
A	1	CTRL	TRS+URS	AAK1	0.433380729879225	4.89422443363767	0.0120128502784734	0.0862789919727866
A	1	CTRL	TRS+URS	ABCA3	1.97374826424292	1.22469410397008	0.00699560664887485	0.0615392288070664
A	1	CTRL	TRS+URS	ABCA6	0.523251658309078	4.42695068359417	0.00907670998573966	0.071926050341543
A	1	CTRL	TRS+URS	ABCF1	-0.415261360671031	6.41018030321822	0.00699876353622239	0.0615392288070664
A	1	CTRL	TRS+URS	ABCG1	-2.85791708882795	1.84651680701383	0.00686625707238438	0.0608269643454715
A	1	CTRL	TRS+URS	ABHD13	-0.861246276931888	4.24521351097072	0.000658049310049646	0.0130166334779109
A	1	CTRL	TRS+URS	ABI2	0.552593255792868	4.79465400848476	0.0022502890674241	0.0287891678635716
A	1	CTRL	TRS+URS	ABRACL	-0.570807618360149	5.31317207888485	0.00290919708958091	0.0343611128692596
A	1	CTRL	TRS+URS	ABT1	-0.774589131340775	3.87271243862791	0.00830610811420867	0.0681089836071704
A	1	CTRL	TRS+URS	ACAP2	0.551266351696817	5.69770724745295	0.000212438644756284	0.00638600859893498
A	1	CTRL	TRS+URS	ACN9	-0.596807165461026	5.33364521147095	0.00146876691412729	0.0216019430846055
A	1	CTRL	TRS+URS	ACOT9	-0.426690298405368	5.74275596601552	0.0120814808857244	0.0865563630579984
A	1	CTRL	TRS+URS	ACP1	-0.56321128704182	8.20432680223333	1.313494289456e-05	0.000999909319768856
A	1	CTRL	TRS+URS	ACSL1	0.470292864088653	4.92513361823577	0.0097311942239385	0.0751094241310483
A	1	CTRL	TRS+URS	ACTL6A	-0.598765925502945	5.83491326670957	0.000378324213601254	0.00920521219629585
A	1	CTRL	TRS+URS	ACVR1B	1.22755902687944	2.36800364608495	0.00250243026172135	0.0311612149257206
A	1	CTRL	TRS+URS	ADAM12	0.623287188823888	4.77537487905993	0.000779639518985235	0.0144798106686533
A	1	CTRL	TRS+URS	ADAM19	1.32205682543503	2.87931218624603	3.9122393079017e-05	0.00209641512093503
A	1	CTRL	TRS+URS	ADAMTS2	0.536675906126107	4.90520284213452	0.00213926315319519	0.0279150356567137
A	1	CTRL	TRS+URS	ADK	-0.540459686280366	5.31155083168131	0.00393714433445295	0.0420573220367421
A	1	CTRL	TRS+URS	ADM	-0.630064616763525	4.66656332949928	0.00674273346011463	0.0602605878270668
A	1	CTRL	TRS+URS	ADNP	0.642138801877611	4.00399676193328	0.00641514083345373	0.0580971091958463
A	1	CTRL	TRS+URS	ADSL	-0.469506525433518	6.47348864618669	0.0018906271780218	0.0258037060048383
A	1	CTRL	TRS+URS	ADSS	0.504042301735703	4.50406303103341	0.0133861388698757	0.0930862966088118
A	1	CTRL	TRS+URS	AEBP2	0.585052644745917	4.02296039140577	0.00888642365888963	0.0711512488303625
