Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	DOM	4	13	1	B7	DOM.A.4.13.1.B7
48	Human	A	DOM	4	14	1	B8	DOM.A.4.14.1.B8
48	Human	A	DOM	5	11	1	C7	DOM.A.5.11.1.C7
