Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	SUN+DOM.A.6.22.1.D12	SUN+DOM.A.6.23.1.E1	SUN+DOM.A.6.24.1.E2	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	SUN+DOM.A.6.22.1.D12.Norm	SUN+DOM.A.6.23.1.E1.Norm	SUN+DOM.A.6.24.1.E2.Norm
ABCE1	98	85	90	90	88	108	41	89	90	110	65	76	109	88	57	84	66.5796001931146	63.9917884595378	64.8929958854557	71.4962422568253	83.2670055030614	77.9382281533367	62.9661398548885	67.1176280953599	73.9646754380139	57.9172099926096	57.9985172171216	69.9495442619021	75.5117967112505	61.7327423987628	61.5001574378553	77.9965858422487
ABCF1	131	117	119	87	77	117	45	121	115	190	95	92	117	101	74	81	88.9992614826327	88.0828147031286	85.8029612263247	69.1130341815978	72.8586298151787	84.4330804994481	69.1091778895118	91.2498089835791	94.51041861524	100.038817259962	84.7670636250239	84.675764106513	81.0539469285899	70.8523520713073	79.842309656163	75.2109934907398
ABCF2	47	38	51	48	55	56	26	70	45	85	31	43	56	58	24	47	31.9310327456774	28.608093664264	36.7726976684249	38.1313292036402	52.0418784394134	40.4124145980264	39.9297472250513	52.7891456929797	36.9823377190069	44.7542077215619	27.6608312881657	39.576715832392	38.7950515213764	40.6874893082755	25.8948031317285	43.6409468403058
ABCF3	18	20	11	8	12	10	5	11	15	20	22	7	25	17	11	13	12.228906157919	15.0568914022442	7.93136616377792	6.35522153394003	11.3545916595084	7.21650260679043	7.67879754327909	8.29543718032538	12.3274459063356	10.5304018168381	19.630267365795	6.4427211820173	17.3192194291859	11.9256434179428	11.8684514353756	12.0709001898718
ABCG1	1	1	2	1	3	7	3	4	5	5	0	3	4	3	2	3	0.679383675439944	0.75284457011221	1.44206657523235	0.794402691742503	2.83864791487709	5.0515518247533	4.60727852596745	3.01652261102741	4.10914863544521	2.63260045420953	0	2.76116622086456	2.77107510866974	2.10452530904873	2.15790026097738	2.78559235150888
ABHD10	27	28	23	15	16	27	6	26	12	26	17	13	19	18	15	18	18.3433592368785	21.0796479631419	16.583765615172	11.9160403761376	15.1394555460112	19.4845570383342	9.2145570519349	19.6073969716782	9.86195672506852	13.6895223618895	15.168842964478	11.9650536237464	13.1626067661813	12.6271518542924	16.1842519573303	16.7135541090533
ABHD11	3	6	9	4	5	4	2	7	9	12	5	4	12	5	6	3	2.03815102631983	4.51706742067326	6.48929958854557	3.17761076697001	4.73107985812849	2.88660104271617	3.07151901731163	5.27891456929797	7.39646754380139	6.31824109010286	4.46142440131704	3.68155496115274	8.31322532600922	3.50754218174789	6.47370078293213	2.78559235150888
ABHD12	9	1	6	2	6	5	1	3	7	3	8	4	7	6	1	7	6.1144530789595	0.75284457011221	4.32619972569704	1.58880538348501	5.67729582975418	3.60825130339522	1.53575950865582	2.26239195827056	5.7528080896233	1.57956027252572	7.13827904210727	3.68155496115274	4.84938144017205	4.20905061809746	1.07895013048869	6.49971548685406
ABHD13	30	15	35	23	18	30	16	25	24	25	19	16	28	16	14	15	20.3815102631983	11.2926685516831	25.2361650665661	18.2712619100776	17.0318874892626	21.6495078203713	24.5721521384931	18.8532663189213	19.723913450137	13.1630022710476	16.9534127250048	14.726219844611	19.3975257606882	11.2241349815932	15.1053018268416	13.9279617575444
ABHD14A	10	3	4	5	3	6	1	4	4	3	3	1	4	2	2	1	6.79383675439944	2.25853371033663	2.8841331504647	3.97201345871252	2.83864791487709	4.32990156407426	1.53575950865582	3.01652261102741	3.28731890835617	1.57956027252572	2.67685464079023	0.920388740288185	2.77107510866974	1.40301687269915	2.15790026097738	0.928530783836294
ABHD14B	11	14	13	16	10	20	6	10	15	21	7	6	15	16	18	14	7.47322042983939	10.5398239815709	9.37343273901026	12.7104430678801	9.46215971625697	14.4330052135809	9.2145570519349	7.54130652756852	12.3274459063356	11.05692190768	6.24599416184386	5.52233244172911	10.3915316575115	11.2241349815932	19.4211023487964	12.9994309737081
ABHD15	12	15	4	8	5	11	2	10	13	16	4	12	9	10	11	8	8.15260410527933	11.2926685516831	2.8841331504647	6.35522153394003	4.73107985812849	7.93815286746948	3.07151901731163	7.54130652756852	10.6837864521576	8.42432145347048	3.56913952105364	11.0446648834582	6.23491899450692	7.01508436349577	11.8684514353756	7.42824627069035
ABHD16A	4	9	6	13	9	13	4	12	9	18	5	5	16	14	6	4	2.71753470175978	6.77560113100989	4.32619972569704	10.3272349926525	8.51594374463128	9.38145338882756	6.14303803462327	9.04956783308223	7.39646754380139	9.47736163515429	4.46142440131704	4.60194370144093	11.084300434679	9.82111810889408	6.47370078293213	3.71412313534517
ABHD16B	1	1	1	0	0	0	0	1	0	0	2	2	0	0	1	0	0.679383675439944	0.75284457011221	0.721033287616174	0	0	0	0	0.754130652756852	0	0	1.78456976052682	1.84077748057637	0	0	1.07895013048869	0
ABHD17A	5	3	6	6	5	11	4	9	4	12	7	5	8	10	11	8	3.39691837719972	2.25853371033663	4.32619972569704	4.76641615045502	4.73107985812849	7.93815286746948	6.14303803462327	6.78717587481167	3.28731890835617	6.31824109010286	6.24599416184386	4.60194370144093	5.54215021733948	7.01508436349577	11.8684514353756	7.42824627069035
ABHD17B	4	7	5	4	4	5	1	4	7	11	1	3	6	8	0	1	2.71753470175978	5.26991199078547	3.60516643808087	3.17761076697001	3.78486388650279	3.60825130339522	1.53575950865582	3.01652261102741	5.7528080896233	5.79172099926096	0.892284880263409	2.76116622086456	4.15661266300461	5.61206749079662	0	0.928530783836294
ABHD17C	10	1	10	6	5	9	3	7	3	7	10	11	10	5	4	5	6.79383675439944	0.75284457011221	7.21033287616174	4.76641615045502	4.73107985812849	6.49485234611139	4.60727852596745	5.27891456929797	2.46548918126713	3.68564063589334	8.92284880263409	10.12427614317	6.92768777167435	3.50754218174789	4.31580052195475	4.64265391918147
ABHD2	20	21	14	13	14	15	18	15	21	25	23	10	24	11	9	16	13.5876735087989	15.8097359723564	10.0944660266264	10.3272349926525	13.2470236027598	10.8247539101856	27.6436711558047	11.3119597913528	17.2584242688699	13.1630022710476	20.5225522460584	9.20388740288185	16.6264506520184	7.71659279984535	9.7105511743982	14.8564925413807
ABHD3	0	0	1	0	0	2	0	1	1	0	2	1	0	2	1	0	0	0	0.721033287616174	0	0	1.44330052135809	0	0.754130652756852	0.821829727089043	0	1.78456976052682	0.920388740288185	0	1.40301687269915	1.07895013048869	0
ABHD4	74	67	94	71	59	89	27	88	68	123	72	54	103	86	72	59	50.2743919825559	50.4405861975181	67.7771290359204	56.4025911137177	55.8267423259162	64.2268732004348	41.4655067337071	66.363497442603	55.8844214420549	64.7619711735543	64.2445113789654	49.700991975562	71.3551840482458	60.3297255260636	77.6844093951856	54.7833162463413
ABHD5	22	28	27	19	15	31	13	21	25	18	22	14	29	23	16	10	14.9464408596788	21.0796479631419	19.4678987656367	15.0936511431076	14.1932395743855	22.3711580810503	19.9648736125256	15.8367437078939	20.5457431772261	9.47736163515429	19.630267365795	12.8854423640346	20.0902945378556	16.1346940360403	17.263202087819	9.28530783836294
ABHD6	7	2	1	5	3	1	3	2	2	2	2	3	4	5	2	4	4.75568572807961	1.50568914022442	0.721033287616174	3.97201345871252	2.83864791487709	0.721650260679043	4.60727852596745	1.5082613055137	1.64365945417809	1.05304018168381	1.78456976052682	2.76116622086456	2.77107510866974	3.50754218174789	2.15790026097738	3.71412313534517
ABHD8	3	0	3	3	1	2	1	4	1	0	1	2	0	0	1	1	2.03815102631983	0	2.16309986284852	2.38320807522751	0.946215971625697	1.44330052135809	1.53575950865582	3.01652261102741	0.821829727089043	0	0.892284880263409	1.84077748057637	0	0	1.07895013048869	0.928530783836294
ABI1	60	60	54	69	52	57	28	54	56	96	42	41	73	60	45	51	40.7630205263967	45.1706742067326	38.9357975312734	54.8137857302327	49.2032305245363	41.1340648587055	43.0012662423629	40.72305524887	46.0224647169864	50.5459287208229	37.4759649710632	37.7359383518156	50.5721207332228	42.0905061809746	48.552755871991	47.355069975651
ABI2	43	26	31	33	21	26	16	38	27	53	26	16	32	36	31	19	29.2134980439176	19.5739588229175	22.3520319161014	26.2152888275026	19.8705354041396	18.7629067776551	24.5721521384931	28.6569648047604	22.1894026314042	27.905564814621	23.1994068868486	14.726219844611	22.1686008693579	25.2543037085848	33.4474540451493	17.6420848928896
ABI3BP	87	92	85	69	65	78	35	95	80	128	53	67	111	105	76	72	59.1063797632752	69.2617004503233	61.2878294473748	54.8137857302327	61.5040381556703	56.2887203329654	53.7515828029536	71.642412011901	65.7463781671234	67.3945716277639	47.2910986539607	61.6660455993084	76.8973342655853	73.6583858167056	82.0002099171403	66.8542164362132
ABL1	14	17	15	20	11	14	5	14	17	15	10	7	15	19	11	10	9.51137145615922	12.7983576919076	10.8154993142426	15.8880538348501	10.4083756878827	10.1031036495066	7.67879754327909	10.5578291385959	13.9711053605137	7.89780136262858	8.92284880263409	6.4427211820173	10.3915316575115	13.328660290642	11.8684514353756	9.28530783836294
ABL2	43	25	25	22	19	27	16	22	20	44	17	30	24	20	12	12	29.2134980439176	18.8211142528052	18.0258321904044	17.4768592183351	17.9781034608882	19.4845570383342	24.5721521384931	16.5908743606508	16.4365945417809	23.1668839970438	15.168842964478	27.6116622086456	16.6264506520184	14.0301687269915	12.9474015658643	11.1423694060355
