Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	LOP	DDIT3	0.606473215443967	7.79390132692336	1.60748298725085e-08	7.0466695884453e-05
A	1	CTRL	LOP	HBB	-1.60650501047684	6.72356476779679	7.8710164879388e-26	1.03511737832883e-21
A	1	CTRL	LOP	JUND	1.13757060155213	4.8240745448898	1.47306261502013e-10	9.68612322506484e-07
A	1	CTRL	LOP	NTM	0.623538752611428	6.1243072800422	3.84274107638317e-06	0.010107177579103
A	1	CTRL	LOP	RPS9	0.533577990658615	9.57489433377205	4.05321552290435e-08	0.000133259593354288
