Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	SOR+URS	5	7	1	C3	SOR+URS.A.5.7.1.C3
48	Human	A	SOR+URS	5	8	1	C4	SOR+URS.A.5.8.1.C4
48	Human	A	SOR+URS	5	9	1	C5	SOR+URS.A.5.9.1.C5
