Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	TRS	2	6	1	A1	TRS.A.2.6.1.A1
48	Human	A	TRS	4	4	1	A11	TRS.A.4.4.1.A11
48	Human	A	TRS	5	10	1	C6	TRS.A.5.10.1.C6
48	Human	A	TRS	5	10	1	H11	TRS.A.5.10.1.H11
48	Human	A	TRS	5	10	1	H12	TRS.A.5.10.1.H12
